 ,Area,Angle,Length
1,2.16E-04,153.435,0.102
2,2.55E-04,45,0.121
3,3.80E-04,51.033,0.181
4,2.68E-04,-133.025,0.127
5,2.59E-04,-111.801,0.124
6,2.51E-04,-80.87,0.118
7,2.85E-04,-39.352,0.135
8,2.46E-04,18.759,0.116
9,2.51E-04,173.884,0.118
10,2.59E-04,-151.699,0.123
11,2.77E-04,79.939,0.131
12,2.81E-04,-88.21,0.132
