dataset,cell_count
DEF.12.1.MARCH29.lst,5741
DEF.12.2.MARCH29.lst,19090
DEF.12.3.MARCH29.lst,6238
DEF.12.4.MARCH29.lst,8393
DEF.12.6.MARCH29.lst,6935
DEF.16.1.MARCH29.lst,2345
DEF.16.2.MARCH29.lst,11412
DEF.16.3.MARCH29.lst,4683
DEF.16.4.MARCH29.lst,4646
DEF.16.5.MARCH29.lst,7016
DEF.16.6.MARCH29.lst,5195
DEF.20.1.MARCH29.lst,136915
DEF.20.2.MARCH29.lst,48376
DEF.20.3.MARCH29.lst,66289
DEF.20.4.MARCH29.lst,65332
DEF.20.5.MARCH29.lst,76005
DEF.20.6.MARCH29.lst,119226
DEF.24.1.MARCH29.lst,68528
DEF.24.2.MARCH29.lst,84345
DEF.24.3.MARCH29.lst,70876
DEF.24.4.MARCH29.lst,149729
DEF.24.5.MARCH29.lst,113158
FULL.12.1.MARCH29.lst,8635
FULL.12.2.MARCH29.lst,4784
FULL.12.3.MARCH29.lst,4316
FULL.12.4.MARCH29.R2.lst,5487
FULL.12.5.MARCH29.lst,5227
FULL.12.6.MARCH29.R2.lst,3638
FULL.16.1.MARCH29.lst,6365
FULL.16.2.MARCH29.R2.lst,6724
FULL.16.3.MARCH29.lst,6231
FULL.16.4.MARCH29.lst,5471
FULL.16.5.MARCH29.lst,5856
FULL.16.6.MARCH29.lst,3873
FULL.20.1.MARCH24.lst,95295
FULL.20.2.MARCH29.lst,55093
FULL.20.3.MARCH29.lst,49381
FULL.20.4.MARCH29.lst,77433
FULL.20.5.MARCH29.R2.lst,36475
FULL.20.6.MARCH29.lst,105129
FULL.24.1.MARCH29.R4.lst,64479
FULL.24.2.MARCH29.R2.lst,36430
FULL.24.3.MARCH29.lst,102874
FULL.24.4.MARCH29.lst,119954
FULL.24.5.MARCH29.lst,108279
FULL.24.6.MARCH29.lst,99506
