x,UniqueID,date,try,cell_count,treatment,temperature,replicate
X,1,APRIL8,R1,46424,FULL,20,1
X,10,APRIL8,R1,140501,DEF,20,4
X,11,APRIL8,R1,109525,DEF,20,5
X,11,APRIL8,R2,169819,DEF,20,5
X,11,APRIL8,R3,56102,DEF,20,5
X,12,APRIL8,R1,156205,DEF,20,6
X,13,APRIL8,R1,136747,FULL,16,1
X,13,APRIL8,R2,194334,FULL,16,1
X,13,APRIL8,R3,124715,FULL,16,1
X,13,APRIL8,R4,133048,FULL,16,1
X,13,APRIL8,R5,110026,FULL,16,1
X,14,APRIL8,R1,145394,FULL,16,2
X,15,APRIL8,R1,89829,FULL,16,3
X,16,APRIL8,R1,60564,FULL,16,4
X,16,APRIL8,R2,141733,FULL,16,4
X,16,APRIL8,R3,122018,FULL,16,4
X,16,APRIL8,R4,65758,FULL,16,4
X,17,APRIL8,R1,104445,FULL,16,5
X,18,APRIL8,R1,156119,FULL,16,6
X,19,APRIL8,R1,121712,DEF,16,1
X,19,APRIL8,R2,60170,DEF,16,1
X,2,APRIL8,R1,57487,FULL,20,2
X,20,APRIL8,R1,223600,DEF,16,2
X,20,APRIL8,R2,145929,DEF,16,2
X,21,APRIL8,R1,34686,DEF,16,3
X,21,APRIL8,R2,238096,DEF,16,3
X,21,APRIL8,R3,70638,DEF,16,3
X,21,APRIL8,R4,46468,DEF,16,3
X,21,APRIL8,R5,27670,DEF,16,3
X,22,APRIL8,R1,25502,DEF,16,4
X,22,APRIL8,R2,38544,DEF,16,4
X,23,APRIL8,R1,73409,DEF,16,5
X,24,APRIL8,R1,6616,DEF,16,6
X,25,APRIL8,R1,1676,FULL,24,1
X,27,APRIL8,R1,9855,FULL,24,3
X,28,APRIL8,R1,9490,FULL,24,4
X,29,APRIL8,R1,4908,FULL,24,5
X,3,APRIL8,R1,109435,FULL,20,3
X,3,APRIL8,R2,145199,FULL,20,3
X,3,APRIL8,R3,113845,FULL,20,3
