ID,P,temp,replicate,date,daydiff,days,cellcon,vol_cell,biovol
12,DEF,20,6,APRIL19,4,21,916,2069.19,1895378.04
13,FULL,16,1,APRIL19,4,21,1660,1405.33,2332847.8
14,FULL,16,2,APRIL19,4,21,11944,1084.82,12957090.08
15,FULL,16,3,APRIL19,4,21,6166,340.41,2098968.06
16,FULL,16,4,APRIL19,4,21,3089,345.09,1065983.01
17,FULL,16,5,APRIL19,4,21,1807,651.54,1177332.78
18,FULL,16,6,APRIL19,4,21,2239,387.15,866828.85
19,DEF,16,1,APRIL19,4,21,5001,522.9,2615022.9
20,DEF,16,2,APRIL19,4,21,9665,769.65,7438667.25
21,DEF,16,3,APRIL19,4,21,25152,1002.44,25213370.88
22,DEF,16,4,APRIL19,4,21,14739,1694.66,24977593.74
23,DEF,16,5,APRIL19,4,21,8193,647.43,5304393.99
24,DEF,16,6,APRIL19,4,21,859,682.89,586602.51
25,FULL,24,1,APRIL19,4,21,142,7468.81,1060571.02
26,FULL,24,2,APRIL19,4,21,10561,1652.81,17455326.41
27,FULL,24,3,APRIL19,4,21,45594,2209.5,100739943
28,FULL,24,4,APRIL19,4,21,29128,2286.41,66598550.48
29,FULL,24,5,APRIL19,4,21,2923,1272.13,3718435.99
30,FULL,24,6,APRIL19,4,21,21329,1695.45,36162253.05
31,DEF,24,1,APRIL19,4,21,19903,459.93,9153986.79
32,DEF,24,2,APRIL19,4,21,30883,1002.22,30951560.26
33,DEF,24,3,APRIL19,4,21,251,1746.23,438303.73
34,DEF,24,4,APRIL19,4,21,467,860.87,402026.29
35,DEF,24,5,APRIL19,4,21,1340,272.55,365217
36,DEF,24,6,APRIL19,4,18,59,889.51,52481.09
37,FULL,12,1,APRIL19,4,21,9730,1218.69,11857853.7
38,FULL,12,2,APRIL19,4,21,6689,2266.98,15163829.22
39,FULL,12,3,APRIL19,4,21,13279,873.8,11603190.2
40,FULL,12,4,APRIL19,4,21,14019,1003.11,14062599.09
41,FULL,12,5,APRIL19,4,21,17915,1035.02,18542383.3
42,FULL,12,6,APRIL19,4,21,14416,931.17,13423746.72
43,DEF,12,1,APRIL19,4,21,20915,1093.18,22863859.7
44,DEF,12,2,APRIL19,4,21,29044,1068.28,31027124.32
45,DEF,12,3,APRIL19,4,21,34701,1444.83,50137045.83
46,DEF,12,4,APRIL19,4,21,33184,1365.6,45316070.4
47,DEF,12,5,APRIL19,4,21,26754,1068.78,28594140.12
48,DEF,12,6,APRIL19,4,21,15517,852.65,13230570.05
49,FULL,12,C4,APRIL19,4,18,45138,1189.65,53698421.7
50,DEF,12,C4,APRIL19,4,18,153886,2156.72,331889013.92
51,DEF,12,C1,APRIL19,4,21,61542,2611.11,160692931.62
52,DEF,12,C2,APRIL19,4,18,23024,1492.71,34368155.04
53,DEF,12,C3,APRIL19,4,18,17891,1719.41,30761964.31
54,FULL,12,C1,APRIL19,4,21,46891,1389.15,65138632.65
55,FULL,12,C2,APRIL19,4,18,50740,1475.8,74882092
56,FULL,12,C3,APRIL19,4,18,55983,1840.71,103048467.93
57,DEF,16,C1,APRIL19,4,18,27284,948.67,25883512.28
58,DEF,16,C2,APRIL19,4,18,37452,1877.45,70314257.4
59,DEF,16,C3,APRIL19,4,18,48799,1865.76,91047222.24
60,FULL,16,C1,APRIL19,4,18,7129,1143.71,8153508.59
61,FULL,16,C2,APRIL19,4,18,20867,3208.23,66946135.41
62,FULL,16,C3,APRIL19,4,18,63240,2174.12,137491348.8
63,DEF,20,C1,APRIL19,4,14,6869,534.82,3673678.58
64,DEF,20,C2,APRIL19,4,14,5620,774.08,4350329.6
65,DEF,20,C3,APRIL19,4,14,3251,1655.52,5382095.52
66,FULL,20,C1,APRIL19,4,14,12022,2936.11,35297914.42
67,FULL,20,C2,APRIL19,4,14,9386,1608.85,15100666.1
68,FULL,20,C3,APRIL19,4,14,5926,1059.39,6277945.14
69,DEF,24,C1,APRIL19,4,14,3643,1129.93,4116334.99
70,DEF,24,C2,APRIL19,4,14,1821,1215.2,2212879.2
71,DEF,24,C3,APRIL19,4,14,6483,854.24,5538037.92
72,FULL,24,C1,APRIL19,4,14,47399,2055.94,97449500.06
73,FULL,24,C2,APRIL19,4,14,16233,2505.86,40677625.38
74,FULL,24,C3,APRIL19,4,14,8650,1768.17,15294670.5
1,FULL,20,1,APRIL26,7,28,5716,673.24,3848239.84
2,FULL,20,2,APRIL26,7,28,1930030,451.07,870578632.1
3,FULL,20,3,APRIL26,7,28,11855,1180.68,13996961.4
4,FULL,20,4,APRIL26,7,28,493811,1236.18,610439281.98
5,FULL,20,5,APRIL26,7,28,176445,1544.87,272584587.15
6,FULL,20,6,APRIL26,7,28,2825,1721.05,4861966.25
7,DEF,20,1,APRIL26,7,28,47687,1924.57,91776969.59
8,DEF,20,2,APRIL26,7,28,5859,1012.02,5929425.18
9,DEF,20,3,APRIL26,7,28,39060,1021.11,39884556.6
10,DEF,20,4,APRIL26,7,28,10230,1382.2,14139906
11,DEF,20,5,APRIL26,7,28,4797,480.98,2307261.06
12,DEF,20,6,APRIL26,7,28,7008,520.95,3650817.6
13,FULL,16,1,APRIL26,7,28,10394,1249.2,12984184.8
14,FULL,16,2,APRIL26,7,28,44128,2216.93,97828687.04
15,FULL,16,3,APRIL26,7,28,4870,1140.96,5556475.2
16,FULL,16,4,APRIL26,7,28,3083,1553.89,4790642.87
17,FULL,16,5,APRIL26,7,28,2962,872.33,2583841.46
18,FULL,16,6,APRIL26,7,28,9327,1331.14,12415542.78
19,DEF,16,1,APRIL26,7,28,30157,766.11,23103579.27
20,DEF,16,2,APRIL26,7,28,14457,856.21,12378227.97
21,DEF,16,3,APRIL26,7,28,27588,611.31,16864820.28
22,DEF,16,4,APRIL26,7,28,688,2207.33,1518643.04
23,DEF,16,5,APRIL26,7,28,5125,942.45,4830056.25
24,DEF,16,6,APRIL26,7,28,12796,639.48,8182786.08
25,FULL,24,1,APRIL26,7,28,26208,754.59,19776294.72
26,FULL,24,2,APRIL26,7,28,41066,715.87,29397917.42
27,FULL,24,3,APRIL26,7,28,9716,653.04,6344936.64
28,FULL,24,4,APRIL26,7,28,33779,719.2,24293856.8
29,FULL,24,5,APRIL26,7,28,15063,958.3,14434872.9
30,FULL,24,6,APRIL26,7,28,7557,358.54,2709486.78
31,DEF,24,1,APRIL26,7,28,32152,806.15,25919334.8
32,DEF,24,2,APRIL26,7,28,5029,986.63,4961762.27
33,DEF,24,3,APRIL26,7,28,61773,363.41,22448925.93
34,DEF,24,4,APRIL26,7,28,65185,621,40479885
35,DEF,24,5,APRIL26,7,28,3471,460.06,1596868.26
36,DEF,24,6,APRIL26,7,25,53783,725.48,39018490.84
37,FULL,12,1,APRIL26,7,28,7578,830.91,6296635.98
38,FULL,12,2,APRIL26,7,28,15439,800.55,12359691.45
39,FULL,12,3,APRIL26,7,28,4146,748.21,3102078.66
40,FULL,12,4,APRIL26,7,28,4673,937.88,4382713.24
41,FULL,12,5,APRIL26,7,28,6023,694.14,4180805.22
42,FULL,12,6,APRIL26,7,28,3985,805.64,3210475.4
43,DEF,12,1,APRIL26,7,28,6381,787.98,5028100.38
44,DEF,12,2,APRIL26,7,28,9711,915.04,8885953.44
45,DEF,12,3,APRIL26,7,28,18496,841.38,15562164.48
46,DEF,12,4,APRIL26,7,28,13389,1009.15,13511509.35
47,DEF,12,5,APRIL26,7,28,7648,987.09,7549264.32
48,DEF,12,6,APRIL26,7,28,10309,1426.43,14705066.87
49,FULL,12,C4,APRIL26,7,25,156182,770.7,120369467.4
50,DEF,12,C4,APRIL26,7,25,74079,1642.33,121662164.07
51,DEF,12,C1,APRIL26,7,28,55686,2115.25,117789811.5
52,DEF,12,C2,APRIL26,7,25,53589,1386.49,74300612.61
53,DEF,12,C3,APRIL26,7,25,50211,1333.24,66943313.64
54,FULL,12,C1,APRIL26,7,28,63550,2097.5,133296125
55,FULL,12,C2,APRIL26,7,25,82118,1575.79,129400723.22
56,FULL,12,C3,APRIL26,7,25,82849,1433.3,118747471.7
57,DEF,16,C1,APRIL26,7,25,7994,1858.63,14857888.22
58,DEF,16,C2,APRIL26,7,25,39069,920.73,35972000.37
59,DEF,16,C3,APRIL26,7,25,59120,1613.11,95367063.2
60,FULL,16,C1,APRIL26,7,25,27492,2560.51,70393540.92
61,FULL,16,C2,APRIL26,7,25,10960,3850.41,42200493.6
62,FULL,16,C3,APRIL26,7,25,13138,2297.17,30180219.46
63,DEF,20,C1,APRIL26,7,21,232823,631.05,146922954.15
64,DEF,20,C2,APRIL26,7,21,64119,1178.82,75584759.58
65,DEF,20,C3,APRIL26,7,21,90789,849.26,77103466.14
66,FULL,20,C1,APRIL26,7,21,425592,981.84,417863249.28
67,FULL,20,C2,APRIL26,7,21,242059,1216.96,294576120.64
68,FULL,20,C3,APRIL26,7,21,352502,1006.02,354624062.04
69,DEF,24,C1,APRIL26,7,21,56284,971.62,54686660.08
70,DEF,24,C2,APRIL26,7,21,47353,714.57,33837033.21
71,DEF,24,C3,APRIL26,7,21,55395,1038.96,57553189.2
72,FULL,24,C1,APRIL26,7,21,650341,809.17,526236426.97
73,FULL,24,C2,APRIL26,7,21,425543,848.21,360949828.03
74,FULL,24,C3,APRIL26,7,21,348482,889.38,309932921.16
1,FULL,20,1,MAY4,8,36,5526,555.86,3071682.36
2,FULL,20,2,MAY4,8,36,1734719,728.99,1264592803.81
3,FULL,20,3,MAY4,8,36,6006,594.79,3572308.74
4,FULL,20,4,MAY4,8,36,16057,578.63,9291061.91
5,FULL,20,5,MAY4,8,36,799,1005.89,803706.11
7,DEF,20,1,MAY4,8,36,1661905,878.15,1459401875.75
8,DEF,20,2,MAY4,8,36,3579,698.96,2501577.84
9,DEF,20,3,MAY4,8,36,10803,575.94,6221879.82
10,DEF,20,4,MAY4,8,36,6130,610.95,3745123.5
11,DEF,20,5,MAY4,8,36,4510,1041.13,4695496.3
12,DEF,20,6,MAY4,8,36,11446,539.36,6173514.56
13,FULL,16,1,MAY4,8,36,14055,1470.77,20671672.35
14,FULL,16,2,MAY4,8,36,371087,1281.59,475581388.33
15,FULL,16,3,MAY4,8,36,9636,927.43,8936715.48
16,FULL,16,4,MAY4,8,36,1126,575.44,647945.44
17,FULL,16,5,MAY4,8,36,20962,577.02,12095493.24
18,FULL,16,6,MAY4,8,36,12788,655.95,8388288.6
19,DEF,16,1,MAY4,8,36,8599,881.11,7576664.89
20,DEF,16,2,MAY4,8,36,3031,689.71,2090511.01
21,DEF,16,3,MAY4,8,36,14324,998.3,14299649.2
22,DEF,16,4,MAY4,8,36,2129,861.65,1834452.85
23,DEF,16,5,MAY4,8,36,8430,1957.33,16500291.9
24,DEF,16,6,MAY4,8,36,5159,2065.76,10657255.84
25,FULL,24,1,MAY4,8,36,864,844.77,729881.28
26,FULL,24,2,MAY4,8,36,6387,1649.04,10532418.48
27,FULL,24,3,MAY4,8,36,161,294.9,47478.9
28,FULL,24,4,MAY4,8,36,2338,719.47,1682120.86
29,FULL,24,5,MAY4,8,36,1743,803.15,1399890.45
30,FULL,24,6,MAY4,8,36,846,521.85,441485.1
31,DEF,24,1,MAY4,8,36,1514,800.01,1211215.14
32,DEF,24,2,MAY4,8,36,2763,1213.63,3353259.69
33,DEF,24,3,MAY4,8,36,4833,1150.79,5561768.07
34,DEF,24,4,MAY4,8,36,2782,1044.79,2906605.78
35,DEF,24,5,MAY4,8,36,3359,790.16,2654147.44
36,DEF,24,6,MAY4,8,33,2086,860.32,1794627.52
37,FULL,12,1,MAY4,8,36,13163,855.79,11264763.77
38,FULL,12,2,MAY4,8,36,10283,764.44,7860736.52
39,FULL,12,3,MAY4,8,36,27110,810.49,21972383.9
40,FULL,12,4,MAY4,8,36,11442,455.73,5214462.66
41,FULL,12,5,MAY4,8,36,11127,873.16,9715651.32
42,FULL,12,6,MAY4,8,36,23395,833.45,19498562.75
43,DEF,12,1,MAY4,8,36,1060,1567.29,1661327.4
44,DEF,12,2,MAY4,8,36,8591,755.89,6493850.99
45,DEF,12,3,MAY4,8,36,6208,765.97,4755141.76
46,DEF,12,4,MAY4,8,36,2683,545.91,1464676.53
47,DEF,12,5,MAY4,8,36,4739,698.51,3310238.89
48,DEF,12,6,MAY4,8,36,1214,574.91,697940.74
49,FULL,12,C4,MAY4,8,33,34961,997.19,34862759.59
50,DEF,12,C4,MAY4,8,33,22095,393.9,8703220.5
51,DEF,12,C1,MAY4,8,36,150399,463.7,69740016.3
52,DEF,12,C2,MAY4,8,33,44485,512.65,22805235.25
53,DEF,12,C3,MAY4,8,33,32095,604.63,19405599.85
54,FULL,12,C1,MAY4,8,36,59604,778.25,46386813
55,FULL,12,C2,MAY4,8,33,75332,825.47,62184306.04
56,FULL,12,C3,MAY4,8,33,50022,836.3,41833398.6
57,DEF,16,C1,MAY4,8,33,30292,542.08,16420687.36
58,DEF,16,C2,MAY4,8,33,19869,608.63,12092869.47
59,DEF,16,C3,MAY4,8,33,56615,478.99,27118018.85
60,FULL,16,C1,MAY4,8,33,1069345,476.06,509072380.7
61,FULL,16,C2,MAY4,8,33,79262,2273.52,180203742.24
62,FULL,16,C3,MAY4,8,33,98515,1713.27,168782794.05
63,DEF,20,C1,MAY4,8,29,2284311,688.65,1573090770.15
64,DEF,20,C2,MAY4,8,29,1423809,605.29,861817349.61
65,DEF,20,C3,MAY4,8,29,1908510,623.68,1190299516.8
66,FULL,20,C1,MAY4,8,29,2858638,866.59,2477267104.42
67,FULL,20,C2,MAY4,8,29,1934881,1025.58,1984375255.98
68,FULL,20,C3,MAY4,8,29,3165125,672.93,2129907566.25
69,DEF,24,C1,MAY4,8,29,1258716,681.49,857802366.84
70,DEF,24,C2,MAY4,8,29,517217,908.03,469648552.51
71,DEF,24,C3,MAY4,8,29,1130234,627.45,709165323.3
72,FULL,24,C1,MAY4,8,29,2991666,722.28,2160820518.48
73,FULL,24,C2,MAY4,8,29,2437690,773.45,1885431330.5
74,FULL,24,C3,MAY4,8,29,2460303,703.83,1731635060.49
