treatment,temperature,replicate,date,try,type,cell_count
DEF,12,1,MARCH30,lst,NA,3497
DEF,12,2,MARCH30,R1,lst,5012
DEF,12,3,MARCH30,R1,lst,42421
DEF,12,3,MARCH30,R2,lst,6333
DEF,12,4,MARCH30,R1,lst,6476
DEF,12,5,MARCH30,R1,lst,14772
DEF,12,5,MARCH30,R2,lst,6656
DEF,12,6,MARCH30,R1,lst,65660
DEF,12,6,MARCH30,R2,lst,9687
FULL,12,1,MARCH30,R1,lst,4556
FULL,12,2,MARCH30,R1,lst,5515
FULL,12,3,MARCH30,R1,lst,6820
FULL,12,4,MARCH30,R1,lst,6458
FULL,12,5,MARCH30,R1,lst,6272
FULL,12,6,MARCH30,R1,lst,6685
