"","ID","Phosphorus","temp","r","K","a","b","eps","m","finalsimulatedP","finalsimulatedH","finalobservedP","finalobservedH"
"1",1,"FULL",20,0.250000000344988,48560428.9826672,10.0000001053368,9999.99999999991,0.00100000105368205,0.199999999578462,48277000.4885459,0.0106960759762511,3071682.36,58
"2",2,"FULL",20,0.149181192372176,1597427822.75585,98.171388373068,1e+05,0.0210751253562084,2,188696095.539047,31.9211759438991,1264592804,139
"3",3,"FULL",20,2,77951487.1084251,10.4457702893919,1000.21674441234,0.0267253181970502,0.199484465099942,77950602.7571077,176.068459580572,3572308.74,95
"4",4,"FULL",20,0.158472200993278,255229493.259209,210.377226163433,1e+05,0.009926593229343,2,137349331.400162,66.6991220582388,9291061.91,231
"5",5,"FULL",20,0.250000000517225,118070225.23754,10.0000000007232,9999.99999999999,0.00100000000760608,0.199999999996957,116388299.087961,0.0106964861010332,803706.11,251
"6",6,"FULL",20,1.07449873076557,63874703.1170574,10.7849354768561,1e+05,0.19340894053677,2,63873182.8294405,163.367236904509,4861966.25,123
"7",7,"DEF",20,0.117021329287453,2753545337469.92,38.7083569566159,1000,0.0311331603297079,1.21479281925164,67338515.3516851,6.98644965009047,1459401876,5
"8",8,"DEF",20,2,66198504.7283494,10.8685512747577,1000,0.0234048664386655,0.165115133568492,66197211.6051238,248.575946923753,2501577.84,186
"9",9,"DEF",20,0.250000000409043,66094451.7238125,10.0000000084802,10000,0.00100000008511831,0.199999999965944,65567600.8855807,0.0106962587671396,6221879.82,119
"10",10,"DEF",20,2,58673327.6212265,13.3868476036073,1000,0.0223617613312615,0.218863807901196,58672161.3625636,181.251027498934,3745123.5,94
"11",11,"DEF",20,2,88247588.623806,13.8572996139879,13927.3491722777,0.0172343817298127,0.190505074525304,88247204.6158366,56.7698210017118,4695496.3,45
"12",12,"DEF",20,2,110471343.854442,14.4347429992987,1000,0.0229274318936996,0.286019088506845,110470988.131557,50.3945629401825,6173514.56,38
