"","ID","Phosphorus","temp","r","K","a","b","eps","m","finalsimulatedP","finalsimulatedH","finalobservedP","finalobservedH"
"1",1,"FULL",20,5,146346823.29274,5.07948029014654,61005.378921359,0.0144081814870225,0.0141357262585674,146346739.356334,83.6331073260357,3071682.36,58
"2",2,"FULL",20,0.149165991823959,1597416494.23624,15.3527554344849,1e+05,0.13476240654609,2,189350935.95099,32.0054322785367,1264592804,139
"3",3,"FULL",20,4.85395662808492,77951813.3815221,16.7804676760872,1000,0.00750675142253941,0.0462870115977953,77951214.4736003,176.086206139197,3572308.74,95
"4",4,"FULL",20,0.158448339252221,255141991.156327,109.677110728714,1e+05,0.01904069439687,2,137691924.854738,66.9033828884183,9291061.91,231
"5",5,"FULL",20,0.250000003232657,118070226.553852,10.0000000007232,9999.99999999999,0.00100000000760608,0.199999999996957,116388300.528956,0.0106964861010861,803706.11,251
"6",6,"FULL",20,1.07337472198568,63881469.6323441,122.565516936395,1e+05,0.0170186873516267,2,63864175.8341354,163.32935756186,4861966.25,123
"7",7,"DEF",20,0.117009417530307,1e+13,6.69751561003302,1000,0.161255526614807,1.08968760009009,67478677.6709878,6.99468709200686,1459401876,5
"8",8,"DEF",20,5,66498292.5900848,8.900645832288,1000,0.0247215559406984,0.130776509570225,66497857.8220325,248.596128232835,2501577.84,186
"9",9,"DEF",20,0.250000002673223,64546698.0488146,10.0000000088673,10000,0.00100000008900388,0.19999999996439,64044322.8480928,0.0106962463814823,6221879.82,119
"10",10,"DEF",20,4.61830840976716,58896273.5151599,68.6039036687289,1000,0.00832393776950181,0.490560119953342,58893627.0321037,181.257146569811,3745123.5,94
"11",11,"DEF",20,5,88936917.8359408,3.24076245917646,1000,0.0198167608512981,0.015942694665715,88936881.3352598,56.8593300279617,4695496.3,45
"12",12,"DEF",20,5,111142023.205228,10.889448738271,1000,0.0399849836370646,0.390481032699497,111141914.421399,50.398433455542,6173514.56,38
"13",13,"FULL",16,0.1,58073895.3265765,10.2623770551152,1000,0.0130011744999281,0.164755135948871,22678166.9416778,3.23254111649158,20671672.35,13
"14",14,"FULL",16,0.1,773186908.911373,10.7978394043498,1e+05,0.187316321492094,2,34969951.6204809,3.44466930444067,475581388.3,32
"15",15,"FULL",16,0.821445860518816,31686706.6747605,16.2080976548544,1e+05,0.12556594525254,2,31686280.1194847,22.4461389521104,8936715.48,38
"16",16,"FULL",16,0.1,19694730.7185773,99.666581617442,1e+05,0.0206805378117965,2,12996726.7533274,10.2267136755825,647945.44,54
"17",17,"FULL",16,0.1,19967993.1162996,16.0047645566275,1000,0.011453321327849,0.166886915819737,13139404.7568911,18.0240846189579,12095493.24,25
"18",18,"FULL",16,2.67847568920184,49175236.0605335,109.067158538812,1e+05,0.0186730224791541,2,49174031.6622575,29.9964931113186,8388288.6,47
"19",19,"DEF",16,5,50231600.4918733,12.637549881533,1000,0.038455433016831,0.450625763109456,50231510.9098769,35.6939935983134,7576664.89,39
"20",20,"DEF",16,3.21239098474706,114934029.640758,12.0516596631032,1e+05,0.170053624734358,2,114933836.336225,52.3353107678984,2090511.01,76
"21",21,"DEF",16,0.1,25497780.6636051,119.732081536987,1e+05,0.0167874423031067,2,15235974.7017613,1.81467899930818,14299649.2,11
"22",22,"DEF",16,4.72229380058156,39001458.8281764,61.3793955242396,1000,0.0138328458848148,0.830453180120281,39001206.1774791,19.5148104259671,1834452.85,17
"23",23,"DEF",16,5,55516399.8272679,14.208919006099,1000,0.00803519828279461,0.163354603984876,55516394.9421374,1.7021569514934,16500291.9,0
"24",24,"DEF",16,0.869935688032569,52905173.6594071,11.2206462019671,1e+05,0.179430151222179,2,52905029.0626587,11.3546902036954,10657255.84,25
"25",25,"FULL",24,0.118501930433502,1e+07,108.640032986749,1e+05,0.0189931088420462,2,8861563.14329359,10.9553452052777,729881.28,58
"26",26,"FULL",24,0.199047432957838,1e+07,16.8860741591442,1e+05,0.122666689689024,2,9929085.21076707,25.893040192253,10532418.48,72
"27",27,"FULL",24,3.89241620678036,19454463.6122212,16.3592869378459,1000,0.0210181680936855,0.270108874704176,19453877.65404,142.062393008421,47478.9,164
"28",28,"FULL",24,0.644288555336457,18001021.7124669,14.4000787706095,1e+05,0.143699956220413,2,17999792.5162442,60.2637229876068,1682120.86,75
