 ,Area,Angle,Length
1,1.925E-4,163.780,0.104
2,3.187E-4,-10.954,0.172
3,2.855E-4,-31.079,0.155
4,2.058E-4,123.425,0.110
5,3.121E-4,-83.797,0.170
6,3.087E-4,168.690,0.167
7,3.486E-4,-157.166,0.189
8,2.888E-4,-29.249,0.157
9,2.988E-4,167.053,0.162
10,1.892E-4,111.038,0.102
11,1.328E-4,100.437,0.071
12,3.519E-4,26.075,0.191
13,2.921E-4,-82.711,0.159
14,3.087E-4,27.962,0.167
15,3.452E-4,-71.211,0.187
16,2.125E-4,-4.611,0.114
17,1.328E-4,40.764,0.070
18,3.287E-4,-145.823,0.178
19,3.287E-4,-125.470,0.178
