 ,Area,Angle,Length
1,3.244E-4,-166.527,0.178
2,2.336E-4,167.905,0.128
3,1.752E-4,-118.523,0.095
4,2.271E-4,-77.381,0.125
5,2.433E-4,16.477,0.132
6,3.114E-4,78.453,0.172
7,2.887E-4,-176.711,0.158
8,2.692E-4,-65.323,0.148
9,3.309E-4,3.400,0.182
10,2.530E-4,-173.333,0.139
11,2.368E-4,-45.000,0.131
12,2.076E-4,43.069,0.113
13,3.309E-4,109.692,0.182
14,2.919E-4,35.311,0.160
15,2.238E-4,180.000,0.122
16,3.374E-4,127.093,0.185
17,2.822E-4,-5.315,0.155
18,2.563E-4,-79.695,0.140
19,2.660E-4,-118.156,0.145
20,2.855E-4,-38.454,0.156
21,2.563E-4,-110.045,0.141
22,2.400E-4,-159.075,0.131
23,3.990E-4,-60.489,0.219
24,2.725E-4,163.960,0.150
25,1.557E-4,-68.875,0.085
26,3.082E-4,-72.719,0.169
27,2.628E-4,-60.876,0.145
28,1.849E-4,5.102,0.101
29,2.563E-4,37.747,0.141
30,3.082E-4,73.887,0.168
31,2.368E-4,-45.000,0.131
32,3.503E-4,-74.275,0.194
33,3.276E-4,-139.830,0.181
34,3.276E-4,-61.894,0.180
35,2.628E-4,108.886,0.145
36,2.303E-4,-24.376,0.126
37,2.595E-4,-92.203,0.141
38,3.114E-4,50.117,0.171
39,2.498E-4,173.157,0.137
40,3.374E-4,172.108,0.185
41,3.276E-4,-51.072,0.181
42,3.114E-4,-55.305,0.171
43,2.433E-4,136.637,0.133
44,3.244E-4,177.663,0.178
45,2.790E-4,84.623,0.153
46,3.049E-4,179.384,0.168
47,3.114E-4,149.139,0.171
48,2.498E-4,48.180,0.137
49,1.979E-4,-105.422,0.108
50,2.725E-4,140.906,0.149
51,2.725E-4,-11.853,0.149
52,3.309E-4,-63.184,0.182
53,2.692E-4,-148.438,0.147
54,2.173E-4,64.983,0.119
55,1.330E-4,-142.001,0.072
56,1.719E-4,-39.523,0.093
57,2.433E-4,95.477,0.133
58,3.406E-4,98.915,0.187
59,2.692E-4,-161.565,0.147
60,2.855E-4,64.622,0.156
61,2.498E-4,69.887,0.136
62,2.757E-4,84.560,0.151
63,2.400E-4,-59.574,0.132
64,2.271E-4,98.366,0.124
65,2.238E-4,-53.973,0.123
66,2.400E-4,-167.300,0.131
67,2.303E-4,-14.237,0.125
68,2.692E-4,-127.999,0.147
69,2.530E-4,103.496,0.139
70,1.492E-4,-116.003,0.082
71,1.687E-4,-139.028,0.091
72,1.849E-4,-164.745,0.102
73,2.595E-4,54.293,0.142
74,2.206E-4,-61.526,0.121
75,1.460E-4,-174.806,0.079
76,1.881E-4,-122.856,0.103
77,1.525E-4,126.119,0.083
78,2.725E-4,-114.102,0.150
79,2.011E-4,-108.435,0.109
80,1.687E-4,22.011,0.091
81,1.557E-4,12.265,0.084
82,2.141E-4,-164.667,0.117
83,2.400E-4,-115.866,0.132
84,1.622E-4,-15.461,0.089
85,2.530E-4,-24.567,0.139
86,2.790E-4,9.462,0.153
87,2.498E-4,133.394,0.137
88,2.530E-4,55.069,0.139
89,2.108E-4,14.470,0.115
90,2.887E-4,166.122,0.159
91,2.433E-4,-172.972,0.133
