 ,Area,Angle,Length
1,1.364E-4,-43.995,0.073
2,1.429E-4,-173.211,0.077
3,1.591E-4,99.660,0.087
4,1.494E-4,119.427,0.081
5,1.494E-4,-178.727,0.081
6,3.183E-4,82.288,0.175
7,3.183E-4,-13.749,0.174
8,3.832E-4,-164.659,0.211
9,3.767E-4,-156.342,0.207
10,1.364E-4,-158.962,0.075
11,1.884E-4,-164.745,0.103
12,1.526E-4,44.119,0.083
13,1.949E-4,173.118,0.107
14,1.656E-4,-172.030,0.091
15,1.786E-4,176.820,0.097
16,3.735E-4,86.455,0.205
17,2.728E-4,-115.641,0.150
18,1.461E-4,-172.235,0.080
19,1.461E-4,-157.479,0.080
20,1.721E-4,126.431,0.094
21,1.494E-4,-69.146,0.080
22,1.786E-4,62.488,0.097
23,3.507E-4,-116.565,0.193
24,1.689E-4,142.907,0.093
25,3.540E-4,-132.380,0.195
26,1.461E-4,18.853,0.078
27,1.721E-4,-152.447,0.094
28,1.332E-4,-85.711,0.072
29,1.786E-4,138.013,0.098
30,1.591E-4,158.199,0.087
31,1.169E-4,-115.821,0.063
