 ,Area,Angle,Length
1,2.512E-4,-169.426,0.138
2,2.770E-4,173.211,0.152
3,2.802E-4,-7.289,0.154
4,1.965E-4,-108.741,0.107
5,2.158E-4,22.620,0.118
6,1.997E-4,-21.448,0.109
7,2.319E-4,-24.775,0.128
8,1.160E-4,-8.130,0.063
9,2.802E-4,12.095,0.154
10,3.479E-4,125.166,0.192
11,3.060E-4,-93.691,0.168
12,1.997E-4,-89.045,0.109
13,2.351E-4,26.565,0.128
14,2.029E-4,129.806,0.112
15,2.770E-4,145.561,0.152
16,2.770E-4,61.011,0.152
17,2.899E-4,176.820,0.161
18,3.543E-4,64.604,0.196
19,3.221E-4,128.027,0.178
20,2.062E-4,107.301,0.114
21,1.546E-4,-88.807,0.085
22,1.546E-4,-88.755,0.084
23,2.351E-4,25.498,0.130
24,2.641E-4,109.558,0.145
25,2.190E-4,-24.656,0.121
26,2.512E-4,-165.784,0.138
27,1.900E-4,94.927,0.104
28,2.062E-4,1.818,0.114
29,2.351E-4,116.211,0.130
30,3.543E-4,59.216,0.196
31,3.479E-4,129.327,0.191
32,3.157E-4,-75.677,0.174
33,2.963E-4,160.769,0.163
34,2.770E-4,41.186,0.152
35,2.029E-4,23.682,0.112
36,2.706E-4,-59.744,0.150
37,1.868E-4,92.045,0.102
38,1.546E-4,90.000,0.085
39,2.255E-4,-35.538,0.124
40,3.640E-4,-57.450,0.200
41,2.706E-4,54.382,0.148
42,2.319E-4,-106.390,0.128
43,3.318E-4,-73.516,0.183
44,1.997E-4,-127.057,0.109
45,2.126E-4,-109.832,0.117
46,1.965E-4,127.451,0.107
47,1.450E-4,-161.565,0.080
48,1.514E-4,93.731,0.083
