 ,Area,Angle,Length
1,2.840E-4,-23.962,0.158
2,3.319E-4,-19.841,0.184
3,1.276E-4,-32.471,0.070
4,1.340E-4,105.751,0.073
5,1.276E-4,-78.111,0.069
6,3.127E-4,-155.556,0.174
7,3.478E-4,-12.355,0.192
8,2.457E-4,-76.329,0.136
9,4.053E-4,-160.408,0.224
10,3.829E-4,127.833,0.212
11,3.096E-4,-169.271,0.172
12,3.829E-4,119.805,0.212
13,1.372E-4,-150.422,0.075
14,3.829E-4,80.380,0.213
15,3.255E-4,-76.792,0.180
16,1.979E-4,30.801,0.109
17,2.074E-4,-36.690,0.114
18,2.617E-4,-27.824,0.145
19,2.936E-4,-47.684,0.162
20,2.776E-4,21.801,0.154
21,3.319E-4,6.096,0.184
22,3.287E-4,-28.339,0.182
23,1.915E-4,-3.945,0.105
24,3.574E-4,-147.450,0.198
25,3.893E-4,13.349,0.217
26,3.319E-4,142.907,0.184
27,3.798E-4,12.633,0.211
28,3.191E-4,-42.117,0.177
29,3.064E-4,70.994,0.170
30,2.649E-4,-38.991,0.146
31,3.096E-4,-51.710,0.172
32,3.766E-4,0.971,0.210
33,2.744E-4,23.552,0.152
34,3.829E-4,133.636,0.212
35,3.032E-4,-108.048,0.168
36,3.000E-4,-57.339,0.166
37,2.617E-4,133.506,0.145
38,3.893E-4,-118.045,0.216
39,3.032E-4,139.728,0.167
40,3.127E-4,-17.496,0.173
41,2.904E-4,-47.726,0.160
42,2.744E-4,-165.635,0.151
43,3.415E-4,-172.405,0.190
44,3.670E-4,-42.510,0.203
45,2.521E-4,16.348,0.140
46,3.510E-4,45.744,0.195
47,2.744E-4,-25.665,0.152
48,2.904E-4,-20.037,0.161
49,1.596E-4,160.821,0.088
50,2.585E-4,97.927,0.143
51,3.861E-4,87.114,0.214
52,2.649E-4,-157.166,0.147
53,3.829E-4,67.306,0.213
54,4.053E-4,176.367,0.225
55,3.000E-4,-108.239,0.165
56,2.872E-4,-147.381,0.159
57,2.936E-4,141.736,0.162
58,3.989E-4,-0.924,0.222
59,3.766E-4,-12.265,0.210
60,2.808E-4,135.466,0.155
61,4.085E-4,-78.158,0.228
62,3.032E-4,-19.204,0.169
63,2.904E-4,-47.726,0.160
64,2.553E-4,-0.716,0.142
65,2.521E-4,-96.582,0.139
