 ,Area,Angle,Length
1,2.957E-4,-71.365,0.163
2,3.954E-4,120.155,0.218
3,3.375E-4,70.866,0.186
4,3.922E-4,-61.731,0.216
5,3.536E-4,-92.626,0.196
6,3.214E-4,-13.473,0.177
7,2.379E-4,-18.687,0.130
8,3.182E-4,-52.074,0.175
9,4.243E-4,-10.460,0.236
10,3.214E-4,-88.282,0.178
11,4.211E-4,-135.000,0.233
12,4.018E-4,23.259,0.222
13,1.993E-4,31.608,0.109
14,3.922E-4,106.336,0.217
15,3.086E-4,-140.964,0.171
16,3.054E-4,-57.995,0.169
17,3.375E-4,-102.171,0.187
18,3.793E-4,-51.263,0.209
19,3.214E-4,46.236,0.178
20,3.729E-4,130.061,0.206
21,3.022E-4,-19.406,0.167
22,3.407E-4,-102.588,0.189
23,3.986E-4,-72.007,0.221
24,2.925E-4,-135.909,0.161
25,1.993E-4,-28.237,0.109
26,2.829E-4,-50.110,0.157
27,1.961E-4,-23.575,0.107
28,3.632E-4,16.015,0.200
29,2.893E-4,-162.378,0.160
30,3.697E-4,149.381,0.205
31,3.568E-4,121.232,0.197
32,1.254E-4,-90.000,0.068
33,1.125E-4,67.891,0.061
34,4.147E-4,-144.567,0.229
35,3.311E-4,15.403,0.182
36,3.729E-4,36.870,0.207
37,2.861E-4,57.031,0.157
38,4.468E-4,144.462,0.247
39,3.472E-4,-72.582,0.192
40,2.539E-4,113.295,0.140
41,3.022E-4,-74.310,0.166
42,1.607E-4,-93.504,0.087
43,2.443E-4,-146.524,0.135
44,3.536E-4,57.488,0.195
45,3.504E-4,-136.872,0.194
46,2.539E-4,81.142,0.139
47,2.025E-4,-29.055,0.111
48,2.893E-4,47.726,0.160
49,4.179E-4,116.365,0.231
50,4.082E-4,121.278,0.225
51,2.700E-4,23.471,0.149
52,3.311E-4,-97.892,0.182
53,2.957E-4,78.566,0.163
54,2.797E-4,-132.184,0.154
55,2.829E-4,-120.069,0.156
56,3.954E-4,150.081,0.218
57,2.411E-4,-138.302,0.132
58,3.664E-4,-37.786,0.203
59,2.989E-4,22.954,0.164
60,3.407E-4,-127.635,0.189
61,2.989E-4,-168.079,0.165
62,3.600E-4,101.004,0.198
63,1.768E-4,-146.310,0.097
64,2.797E-4,176.009,0.153
65,2.925E-4,10.934,0.161
66,2.957E-4,-68.199,0.164
67,2.186E-4,179.145,0.120
