 ,Area,Angle,Length
1,3.784E-4,39.188,0.211
2,2.417E-4,6.089,0.134
3,2.448E-4,-158.477,0.136
4,2.862E-4,-95.136,0.159
5,2.544E-4,-74.554,0.140
6,2.798E-4,158.443,0.156
7,2.258E-4,-100.670,0.126
8,2.798E-4,63.435,0.156
9,3.371E-4,107.063,0.188
10,2.894E-4,140.440,0.160
11,3.657E-4,-123.968,0.204
12,3.339E-4,-27.061,0.185
13,3.848E-4,-121.701,0.213
14,3.466E-4,-124.129,0.193
15,2.258E-4,-27.300,0.124
16,2.099E-4,137.490,0.115
17,2.258E-4,160.017,0.125
18,1.558E-4,61.294,0.085
19,3.243E-4,-122.428,0.180
20,2.226E-4,-165.763,0.124
21,3.402E-4,19.290,0.190
22,2.894E-4,57.189,0.161
23,3.180E-4,32.250,0.176
24,1.781E-4,69.928,0.099
25,1.463E-4,167.196,0.080
26,1.367E-4,-114.775,0.076
27,1.177E-4,-99.728,0.064
28,1.940E-4,61.314,0.108
29,1.622E-4,-131.730,0.088
30,2.162E-4,43.807,0.120
31,2.862E-4,-66.038,0.159
