 ,Area,Angle,Length
1,3.612E-4,-177.397,0.199
2,1.334E-4,-141.116,0.072
3,1.757E-4,18.778,0.096
4,1.660E-4,1.146,0.090
5,1.204E-4,-33.690,0.065
6,1.595E-4,62.354,0.087
7,1.757E-4,-117.512,0.096
8,3.514E-4,56.908,0.192
9,3.970E-4,-5.711,0.218
10,3.677E-4,-74.476,0.202
11,2.473E-4,110.821,0.136
12,1.822E-4,-148.325,0.098
13,1.757E-4,120.018,0.095
14,1.627E-4,-66.038,0.089
15,3.612E-4,-151.805,0.198
16,3.872E-4,-171.733,0.212
17,3.970E-4,-156.615,0.218
18,3.645E-4,4.122,0.201
19,1.497E-4,9.039,0.080
20,1.855E-4,34.824,0.102
21,1.660E-4,-69.717,0.089
22,2.213E-4,-79.695,0.121
23,1.562E-4,60.709,0.085
24,1.399E-4,-13.707,0.076
25,2.831E-4,-101.441,0.155
26,1.302E-4,35.707,0.071
27,1.529E-4,-5.080,0.082
