 ,Area,Angle,Length
1,1.456E-4,68.682,0.079
2,3.138E-4,31.373,0.173
3,2.879E-4,-150.819,0.159
4,1.650E-4,-51.520,0.090
5,3.397E-4,-165.564,0.187
6,3.397E-4,135.390,0.187
7,1.488E-4,-141.340,0.081
8,1.585E-4,14.621,0.086
9,3.462E-4,160.201,0.191
10,1.488E-4,31.185,0.081
11,2.912E-4,-56.489,0.159
12,1.423E-4,-127.405,0.077
13,2.782E-4,112.306,0.153
14,3.106E-4,-0.597,0.171
15,3.106E-4,-44.576,0.171
16,2.815E-4,112.416,0.154
17,3.300E-4,-59.133,0.182
18,2.168E-4,-80.395,0.119
19,2.847E-4,-47.328,0.156
20,3.170E-4,165.107,0.175
21,1.585E-4,-24.944,0.086
22,1.521E-4,-105.255,0.083
23,1.812E-4,-40.601,0.099
24,9.705E-5,122.619,0.053
25,1.391E-4,-83.047,0.075
26,3.526E-4,-37.504,0.194
27,3.009E-4,-107.057,0.166
28,1.682E-4,-29.055,0.092
29,2.265E-4,-164.962,0.125
30,2.944E-4,-143.130,0.161
31,2.297E-4,-56.083,0.126
32,2.297E-4,-165.174,0.126
33,2.168E-4,-75.964,0.119
34,2.815E-4,162.408,0.156
35,1.747E-4,152.949,0.095
36,1.488E-4,-41.424,0.082
37,2.200E-4,-0.855,0.120
38,1.650E-4,-101.535,0.091
39,2.297E-4,-30.964,0.126
40,2.782E-4,48.814,0.153
41,3.106E-4,-67.195,0.171
42,2.588E-4,-23.295,0.141
43,2.265E-4,-56.310,0.123
44,3.882E-4,-46.695,0.214
45,3.494E-4,-43.103,0.193
46,3.753E-4,-64.106,0.206
47,1.165E-4,26.565,0.063
48,1.262E-4,171.027,0.069
49,3.623E-4,165.964,0.200
50,2.653E-4,-24.034,0.146
51,3.753E-4,-128.972,0.206
52,2.944E-4,121.734,0.161
53,3.817E-4,19.983,0.211
54,3.462E-4,-154.885,0.191
55,3.203E-4,-28.657,0.176
56,3.235E-4,56.952,0.178
57,2.976E-4,-164.141,0.164
58,1.876E-4,168.887,0.103
59,2.815E-4,178.002,0.155
60,1.488E-4,-95.080,0.081
61,1.423E-4,-146.310,0.078
62,3.106E-4,58.314,0.170
63,2.653E-4,-154.385,0.145
