 ,Area,Angle,Length
1,3.006E-4,-88.112,0.164
2,2.026E-4,-8.531,0.110
3,1.993E-4,97.722,0.109
4,2.059E-4,46.302,0.112
5,2.026E-4,145.539,0.111
6,1.993E-4,-117.848,0.108
7,3.627E-4,-80.112,0.199
8,1.438E-4,24.775,0.078
9,2.679E-4,50.464,0.147
10,3.333E-4,139.399,0.183
11,2.320E-4,-34.592,0.127
12,2.026E-4,-14.265,0.110
13,2.516E-4,-160.145,0.137
14,3.594E-4,172.614,0.197
15,2.091E-4,180.000,0.114
16,2.222E-4,25.427,0.121
17,1.765E-4,-165.700,0.096
18,2.157E-4,44.384,0.118
19,2.712E-4,-94.185,0.149
20,1.699E-4,-77.347,0.091
21,1.667E-4,-119.168,0.090
22,1.699E-4,160.498,0.092
23,3.268E-4,73.413,0.178
24,2.581E-4,-72.255,0.141
25,2.647E-4,0.716,0.144
26,2.483E-4,-137.161,0.135
27,1.568E-4,52.883,0.085
28,1.568E-4,73.540,0.084
29,3.202E-4,30.256,0.175
30,1.830E-4,128.333,0.099
31,2.712E-4,-19.323,0.149
32,2.353E-4,-170.272,0.128
33,2.091E-4,23.318,0.115
34,1.372E-4,168.690,0.074
35,2.745E-4,36.180,0.150
36,2.581E-4,-29.836,0.141
37,1.372E-4,5.572,0.074
38,2.549E-4,174.738,0.139
39,3.072E-4,-161.175,0.168
40,2.026E-4,124.992,0.110
