 ,Area,Angle,Length
1,1.754E-4,168.056,0.095
2,1.689E-4,67.989,0.091
3,2.891E-4,14.349,0.159
4,3.216E-4,62.133,0.177
5,1.819E-4,157.620,0.100
6,2.956E-4,7.679,0.162
7,2.956E-4,172.954,0.163
8,3.280E-4,-170.819,0.181
9,2.566E-4,75.256,0.141
10,1.754E-4,-151.477,0.095
11,1.981E-4,76.430,0.108
12,2.988E-4,134.556,0.164
13,2.339E-4,171.069,0.129
14,1.332E-4,154.093,0.071
15,2.826E-4,-144.462,0.155
16,2.176E-4,56.793,0.118
17,2.079E-4,33.179,0.113
18,3.183E-4,-70.267,0.175
19,3.151E-4,83.991,0.172
20,3.280E-4,167.784,0.180
21,3.248E-4,-34.658,0.178
22,2.274E-4,82.461,0.124
23,3.378E-4,61.434,0.185
24,3.053E-4,5.528,0.168
25,2.468E-4,-46.081,0.135
26,2.046E-4,-102.225,0.112
