 ,Area,Angle,Length
1,2.397E-4,-128.904,0.132
2,3.143E-4,-164.954,0.173
3,2.592E-4,-42.955,0.143
4,2.786E-4,-70.074,0.153
5,2.592E-4,117.860,0.143
6,2.495E-4,25.887,0.136
7,2.786E-4,-8.797,0.153
8,2.268E-4,-25.821,0.124
9,2.073E-4,-66.682,0.114
10,1.782E-4,173.660,0.098
11,3.207E-4,153.958,0.176
12,3.531E-4,-142.172,0.194
13,2.495E-4,-9.834,0.137
14,3.143E-4,-83.991,0.172
15,3.078E-4,-27.929,0.169
16,3.596E-4,-74.197,0.198
17,2.527E-4,-10.437,0.139
18,3.045E-4,124.032,0.167
19,3.078E-4,76.409,0.169
20,2.851E-4,31.866,0.157
21,3.337E-4,-12.407,0.184
22,2.592E-4,-17.745,0.142
23,1.976E-4,-129.560,0.107
24,3.013E-4,-43.238,0.166
25,2.948E-4,-136.353,0.162
26,2.462E-4,28.610,0.135
27,2.527E-4,-68.749,0.139
28,2.527E-4,125.972,0.138
29,2.527E-4,56.104,0.139
30,2.624E-4,39.440,0.145
31,2.527E-4,-21.251,0.139
32,2.235E-4,-107.103,0.122
33,1.588E-4,79.160,0.086
34,2.073E-4,-139.497,0.114
35,2.009E-4,-75.735,0.110
36,2.106E-4,137.545,0.115
37,2.948E-4,7.046,0.161
38,1.523E-4,-102.529,0.083
39,2.786E-4,144.620,0.152
40,2.559E-4,-14.931,0.140
41,2.754E-4,24.727,0.151
