 ,Area,Angle,Length
1,2.868E-4,23.369,0.158
2,1.740E-4,-30.964,0.094
3,3.320E-4,92.806,0.183
4,1.998E-4,-145.008,0.109
5,3.448E-4,133.078,0.190
6,2.804E-4,-48.752,0.154
7,3.158E-4,-24.981,0.173
8,3.352E-4,-158.405,0.185
9,3.094E-4,-81.529,0.170
10,3.352E-4,14.036,0.185
11,3.545E-4,-73.551,0.196
12,3.320E-4,-39.012,0.182
13,3.223E-4,175.956,0.178
14,2.836E-4,23.629,0.157
15,1.483E-4,-12.804,0.080
16,2.965E-4,72.160,0.164
17,2.449E-4,62.063,0.134
18,2.578E-4,-175.657,0.142
19,2.901E-4,86.186,0.161
20,3.094E-4,172.725,0.170
21,1.740E-4,-145.713,0.096
22,1.483E-4,-60.573,0.080
23,1.805E-4,-153.435,0.098
24,2.643E-4,78.551,0.145
25,3.030E-4,-50.667,0.167
26,2.707E-4,87.930,0.149
27,2.095E-4,-27.759,0.115
28,1.418E-4,13.392,0.077
29,1.483E-4,-65.136,0.080
30,3.062E-4,-17.281,0.169
31,2.385E-4,-98.686,0.131
