 ,Area,Angle,Length
1,2.643E-4,-165.440,0.144
2,3.132E-4,-1.206,0.172
3,2.480E-4,-43.394,0.136
4,2.578E-4,102.609,0.141
5,3.459E-4,-135.390,0.189
6,2.512E-4,-170.910,0.138
7,2.023E-4,55.008,0.111
8,3.850E-4,-162.031,0.211
9,2.545E-4,98.236,0.139
10,2.610E-4,-13.158,0.143
11,3.393E-4,-146.464,0.186
12,2.708E-4,-170.311,0.149
13,2.578E-4,-145.491,0.140
14,4.079E-4,-176.279,0.223
15,3.883E-4,-165.727,0.213
16,3.981E-4,138.991,0.219
17,2.741E-4,33.311,0.150
18,2.708E-4,-67.166,0.149
19,2.610E-4,-30.466,0.143
20,2.708E-4,-150.945,0.149
21,2.871E-4,-20.943,0.156
22,2.088E-4,54.039,0.113
23,2.610E-4,145.305,0.143
24,2.447E-4,122.829,0.134
25,2.806E-4,34.439,0.153
26,2.317E-4,-104.826,0.127
27,3.915E-4,100.739,0.214
28,2.121E-4,-117.759,0.116
29,2.121E-4,32.949,0.116
30,2.806E-4,131.186,0.153
31,2.251E-4,40.236,0.122
32,2.447E-4,79.144,0.134
33,2.839E-4,48.814,0.155
34,3.556E-4,127.082,0.194
35,2.773E-4,126.327,0.152
36,2.676E-4,148.438,0.147
37,2.643E-4,148.299,0.144
38,2.382E-4,12.875,0.130
39,2.382E-4,-115.844,0.130
40,3.459E-4,20.171,0.189
41,2.382E-4,-2.386,0.130
42,2.447E-4,-175.365,0.134
43,4.046E-4,65.943,0.222
44,1.958E-4,-160.346,0.107
45,2.186E-4,-130.696,0.120
46,2.284E-4,-19.486,0.125
47,2.251E-4,71.030,0.122
48,2.414E-4,-88.452,0.133
49,2.121E-4,85.462,0.115
50,2.382E-4,126.552,0.131
51,3.687E-4,-157.068,0.203
