 ,Area,Angle,Length
1,3.098E-4,168.207,0.168
2,3.032E-4,111.448,0.165
3,2.966E-4,-33.511,0.161
4,2.867E-4,-29.249,0.155
5,2.867E-4,-4.038,0.156
6,3.197E-4,-79.749,0.173
7,3.032E-4,77.196,0.165
8,2.373E-4,150.555,0.128
9,2.933E-4,-134.542,0.160
10,3.065E-4,-123.518,0.167
11,1.516E-4,-23.703,0.082
12,2.801E-4,111.930,0.152
13,3.032E-4,30.530,0.165
14,2.867E-4,39.382,0.157
15,1.582E-4,-99.866,0.085
16,3.032E-4,-169.186,0.165
17,2.505E-4,58.643,0.136
18,2.307E-4,-167.381,0.125
19,3.296E-4,149.826,0.180
20,2.867E-4,66.105,0.156
21,2.834E-4,-24.167,0.155
