 ,Area,Angle,Length
1,2.553E-4,-11.889,0.140
2,1.778E-4,42.769,0.098
3,2.844E-4,64.904,0.157
4,2.165E-4,-100.460,0.118
5,3.426E-4,107.745,0.189
6,2.909E-4,112.521,0.160
7,2.101E-4,15.333,0.115
8,2.683E-4,82.962,0.147
9,2.392E-4,-79.765,0.131
10,2.618E-4,163.163,0.144
11,3.264E-4,150.611,0.179
12,1.971E-4,-122.905,0.108
13,2.779E-4,30.160,0.153
14,2.295E-4,19.213,0.125
15,2.715E-4,26.565,0.149
16,3.070E-4,71.372,0.168
17,1.810E-4,72.216,0.099
18,2.521E-4,53.427,0.138
19,2.068E-4,119.859,0.113
20,1.842E-4,47.862,0.101
21,2.456E-4,137.161,0.135
22,2.812E-4,-124.611,0.155
23,2.812E-4,-128.454,0.155
24,2.876E-4,162.181,0.158
25,2.779E-4,-20.556,0.153
26,3.297E-4,-104.311,0.182
27,3.006E-4,8.746,0.165
28,3.038E-4,-107.464,0.167
29,2.262E-4,75.763,0.124
30,1.971E-4,-87.138,0.108
31,1.616E-4,-45.000,0.088
32,1.454E-4,-132.184,0.079
33,1.584E-4,15.461,0.087
34,2.068E-4,112.479,0.112
35,2.618E-4,40.446,0.144
36,2.295E-4,-114.376,0.125
37,2.747E-4,173.811,0.151
38,3.135E-4,-52.651,0.172
39,2.553E-4,-13.325,0.140
40,2.327E-4,-112.249,0.128
41,1.454E-4,108.435,0.080
