 ,Area,Angle,Length
1,1.579E-4,112.714,0.085
2,3.420E-4,70.159,0.186
3,2.532E-4,53.584,0.138
4,1.315E-4,104.744,0.072
5,3.617E-4,57.771,0.197
6,3.157E-4,173.928,0.173
7,3.683E-4,-152.507,0.202
8,2.368E-4,-148.339,0.129
9,1.579E-4,-56.310,0.084
10,3.552E-4,-63.914,0.194
11,1.874E-4,-48.621,0.101
12,2.335E-4,122.535,0.126
13,3.486E-4,75.700,0.191
14,3.585E-4,143.344,0.195
15,1.283E-4,161.565,0.068
16,1.447E-4,73.686,0.078
17,1.677E-4,61.390,0.091
18,1.677E-4,-78.465,0.090
19,1.414E-4,-28.393,0.076
