List File,49-APRIL8-R2.lst
Start Time,2016-04-08  11:55:30
Sampling Time,1 min 30 sec

Count,897
Particles / ml,24343

Efficiency,16.3%
PPUI,1.52

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),92.49,19.60,779.34,62.09,67.13
Aspect Ratio,0.85,0.31,1.00,0.11,12.52
Circle Fit,0.74,0.00,0.95,0.13,17.34
Circularity (Hu),0.93,0.17,1.00,0.09,9.40
Compactness,1.89,1.01,7.83,0.83,43.59
Diameter (ABD),10.36,5.00,31.50,3.22,31.04
Diameter (ESD),12.01,5.50,43.22,3.60,29.97
Elongation,3.55,1.00,22.56,2.76,77.80
Geodesic Aspect Ratio,0.44,0.04,1.00,0.28,64.04
Geodesic Length,20.32,6.29,111.35,9.54,46.97
Geodesic Thickness,7.21,1.67,19.30,2.78,38.55
Intensity,141.10,93.70,182.78,20.39,14.45
Length,13.25,5.88,57.88,4.17,31.47
Perimeter,55.06,25.17,236.34,18.45,33.51
Roughness,1.34,1.04,2.56,0.22,16.38
Sigma Intensity,36.86,2.48,55.30,11.88,32.22
Sum Intensity,62673.12,17713.00,3.86e+005,33879.21,54.06
Transparency,0.14,0.03,0.59,0.07,50.18
Volume (ABD),766.26,65.29,16366.55,969.65,126.54
Width,10.52,3.96,31.22,3.10,29.43

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.33,0.03,81,0.01
6-7um,35,3.90,0.40,950,0.07
7-8um,80,8.92,1.10,2171,0.20
8-9um,50,5.57,1.31,1357,0.24
0-5um,0,0.00,0.00,0.00,0.00
5-10um,238,26.53,5.96,6459,1.11
10-15um,520,57.97,52.99,14112,9.88
15-20um,117,13.04,24.77,3175,4.62
20-25um,13,1.45,6.84,353,1.28
25-30um,6,0.67,5.11,163,0.95
30-35um,0,0.00,0.00,0.00,0.00
35-40um,1,0.11,2.38,27,0.44
40-45um,1,0.11,1.76,27,0.33
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,64,7.13,3.00,1737,0.56
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

