 ,Area,Angle,Length
1,2.262E-4,-160.560,0.110
2,2.345E-4,-104.281,0.114
3,2.221E-4,-56.611,0.107
4,2.304E-4,-64.359,0.112
5,2.262E-4,-63.435,0.109
6,2.057E-4,81.870,0.100
7,2.427E-4,-77.152,0.117
8,1.728E-4,-173.047,0.083
9,2.098E-4,39.369,0.101
10,1.769E-4,168.959,0.085
11,1.851E-4,-69.146,0.089
12,1.645E-4,-47.121,0.078
13,2.468E-4,175.156,0.119
14,1.810E-4,28.926,0.088
15,2.304E-4,11.514,0.112
16,2.345E-4,173.884,0.113
17,2.304E-4,-6.226,0.112
18,2.057E-4,-27.096,0.099
19,1.728E-4,126.327,0.084
20,2.262E-4,-163.909,0.110
21,2.139E-4,153.947,0.102
22,1.769E-4,164.624,0.085
23,2.057E-4,-77.093,0.100
24,2.221E-4,-114.624,0.107
25,2.386E-4,-93.013,0.115
26,1.604E-4,23.199,0.076
27,2.304E-4,88.958,0.112
28,2.345E-4,70.278,0.114
