 ,Area,Angle,Length
1,1.128E-4,144.462,0.053
2,2.382E-4,135.725,0.114
3,1.379E-4,68.199,0.065
4,2.466E-4,114.775,0.118
5,2.089E-4,111.801,0.100
6,2.257E-4,109.799,0.109
7,2.424E-4,118.369,0.116
8,2.340E-4,-20.072,0.113
9,2.089E-4,174.053,0.100
10,2.131E-4,-151.390,0.103
11,1.755E-4,-39.094,0.084
12,1.755E-4,-131.987,0.084
13,1.546E-4,-142.815,0.074
14,2.424E-4,-170.870,0.116
15,2.298E-4,38.157,0.110
16,1.922E-4,-67.964,0.092
17,1.881E-4,84.685,0.089
18,2.131E-4,-125.272,0.103
19,2.382E-4,33.408,0.115
