 ,Area,Angle,Length
1,2.173E-4,-178.831,0.102
2,2.390E-4,-133.493,0.113
3,2.607E-4,-94.927,0.122
4,2.173E-4,-178.831,0.102
5,2.477E-4,-78.486,0.116
6,2.086E-4,104.621,0.098
7,2.129E-4,54.324,0.099
8,2.607E-4,-109.058,0.122
9,2.433E-4,77.471,0.115
10,1.825E-4,164.249,0.085
11,1.608E-4,176.820,0.075
12,2.259E-4,-64.440,0.106
13,2.346E-4,-115.602,0.111
14,2.737E-4,-120.324,0.128
15,1.130E-4,115.560,0.052
16,1.738E-4,81.254,0.082
17,2.086E-4,-77.735,0.097
18,1.999E-4,-12.804,0.094
19,2.564E-4,-141.340,0.120
20,2.346E-4,-70.201,0.110
21,2.520E-4,-96.009,0.119
22,2.129E-4,-30.763,0.100
23,1.868E-4,-40.156,0.088
24,2.173E-4,95.826,0.102
25,2.564E-4,154.323,0.121
26,2.086E-4,-126.384,0.098
27,2.390E-4,56.310,0.113
28,2.737E-4,43.069,0.130
29,2.173E-4,15.461,0.101
30,2.042E-4,139.399,0.095
31,2.477E-4,154.799,0.117
32,2.086E-4,-112.249,0.098
33,2.086E-4,-18.825,0.098
34,2.694E-4,-110.225,0.127
35,2.824E-4,-159.864,0.133
36,2.564E-4,113.860,0.120
37,3.042E-4,-176.634,0.143
38,2.433E-4,-164.476,0.116
39,1.521E-4,-145.840,0.071
40,1.912E-4,176.009,0.090
