 ,Area,Angle,Length
1,2.406E-4,96.226,0.113
2,2.535E-4,-11.113,0.120
3,2.535E-4,-113.459,0.120
4,3.437E-4,-154.411,0.163
5,2.492E-4,-170.870,0.118
6,2.191E-4,-108.800,0.103
7,1.847E-4,-166.293,0.087
8,1.676E-4,-4.514,0.079
9,2.449E-4,-45.000,0.117
10,2.406E-4,30.784,0.113
11,1.461E-4,165.964,0.069
12,2.277E-4,146.004,0.108
13,2.449E-4,-84.806,0.116
14,2.019E-4,-97.431,0.096
15,2.363E-4,-113.199,0.111
16,2.148E-4,167.093,0.102
17,1.933E-4,170.961,0.091
18,2.320E-4,94.316,0.110
19,2.277E-4,26.075,0.108
20,2.492E-4,22.932,0.117
21,2.535E-4,-149.036,0.120
22,2.363E-4,-139.514,0.112
