 ,Area,Angle,Length
1,2.483E-4,9.951,0.119
2,2.269E-4,-143.569,0.107
3,1.969E-4,-118.301,0.093
4,1.284E-4,-136.397,0.060
5,2.141E-4,-100.620,0.101
6,2.312E-4,106.390,0.110
7,2.569E-4,88.059,0.122
8,2.055E-4,-120.964,0.097
9,2.183E-4,-168.465,0.103
10,3.810E-4,86.711,0.181
11,1.927E-4,5.194,0.091
12,2.612E-4,-1.909,0.124
13,2.312E-4,-54.211,0.110
14,2.569E-4,-66.930,0.123
15,1.884E-4,-80.538,0.089
16,1.884E-4,86.009,0.090
17,1.670E-4,52.524,0.078
18,2.226E-4,85.515,0.106
19,1.713E-4,-106.557,0.080
20,1.927E-4,-152.850,0.091
21,2.612E-4,-84.289,0.125
22,2.612E-4,-84.193,0.124
23,2.398E-4,161.896,0.115
24,2.312E-4,-172.333,0.109
25,1.327E-4,19.654,0.061
26,2.012E-4,128.853,0.096
27,2.526E-4,-152.103,0.119
28,2.141E-4,-3.504,0.101
29,2.526E-4,-117.897,0.120
30,2.398E-4,-170.538,0.114
31,2.226E-4,170.910,0.106
32,2.569E-4,-32.619,0.123
33,1.841E-4,83.211,0.087
34,2.612E-4,102.426,0.124
35,2.440E-4,96.116,0.116
36,2.355E-4,58.671,0.112
37,2.355E-4,-51.009,0.111
38,2.269E-4,118.523,0.109
39,2.398E-4,39.144,0.114
40,2.526E-4,-131.468,0.119
41,2.141E-4,-102.907,0.100
42,2.269E-4,165.426,0.107
43,2.312E-4,65.376,0.109
44,2.440E-4,63.435,0.117
45,2.355E-4,-98.584,0.111
46,2.526E-4,88.025,0.121
47,3.682E-4,118.664,0.177
48,1.927E-4,69.444,0.090
49,1.927E-4,57.031,0.091
50,2.440E-4,114.775,0.117
51,2.141E-4,149.826,0.102
52,1.884E-4,-125.538,0.088
