 ,Area,Angle,Length
1,2.370E-4,-59.216,0.113
2,2.370E-4,-94.236,0.112
3,2.629E-4,6.766,0.124
4,2.586E-4,-61.699,0.123
5,2.543E-4,-147.680,0.121
6,2.241E-4,-166.504,0.107
7,2.370E-4,-10.685,0.113
8,1.638E-4,46.081,0.078
9,1.465E-4,-110.136,0.068
10,3.405E-4,-151.798,0.162
11,2.672E-4,-167.574,0.126
12,2.413E-4,-143.130,0.113
13,1.724E-4,139.236,0.080
14,1.250E-4,-157.068,0.059
15,2.543E-4,-104.995,0.121
16,2.327E-4,28.523,0.111
17,2.284E-4,-101.094,0.108
18,2.586E-4,-47.070,0.122
19,1.810E-4,-5.711,0.085
20,3.275E-4,-82.405,0.156
21,2.241E-4,0.000,0.105
22,1.638E-4,-156.194,0.077
23,2.457E-4,126.254,0.116
24,2.500E-4,86.934,0.117
25,2.887E-4,102.155,0.138
26,1.939E-4,1.302,0.091
27,2.500E-4,-161.878,0.119
28,1.853E-4,171.674,0.087
29,2.586E-4,51.953,0.122
30,1.982E-4,86.186,0.093
31,2.801E-4,-94.399,0.134
32,2.715E-4,-37.794,0.128
33,2.112E-4,95.947,0.099
34,2.672E-4,-129.685,0.126
35,2.715E-4,145.539,0.129
36,1.982E-4,79.695,0.093
37,1.853E-4,127.147,0.087
38,2.457E-4,177.955,0.116
39,2.629E-4,-37.626,0.125
40,1.939E-4,-68.682,0.092
41,2.457E-4,131.379,0.116
42,2.457E-4,170.870,0.117
43,2.500E-4,84.987,0.118
44,2.155E-4,91.169,0.102
45,2.241E-4,-173.290,0.106
46,2.500E-4,88.995,0.118
47,2.543E-4,138.532,0.120
48,1.508E-4,61.928,0.071
49,2.586E-4,-162.181,0.122
