 ,Area,Angle,Length
1,3.264E-4,-142.836,0.159
2,2.149E-4,-119.604,0.104
3,2.314E-4,132.769,0.112
4,2.107E-4,-27.072,0.102
5,2.231E-4,-166.759,0.107
6,2.273E-4,11.725,0.110
7,2.273E-4,-27.512,0.110
8,2.479E-4,-175.156,0.120
9,2.355E-4,-164.197,0.113
10,2.190E-4,-50.477,0.105
11,2.397E-4,-165.719,0.115
12,2.149E-4,-168.690,0.104
13,2.397E-4,61.631,0.116
14,2.397E-4,135.000,0.116
15,2.190E-4,147.529,0.105
16,1.694E-4,-36.870,0.081
17,1.983E-4,-151.783,0.095
18,3.099E-4,-61.699,0.150
19,3.017E-4,108.687,0.146
20,2.479E-4,-145.491,0.119
