"","X","ssq","treatment","phosphorus","temperature","transformedtemperature","r","K"
"1",2,41.5834025222323,"DEF12","DEF",12,-40.6835983666349,0.0660566924548846,1e+12
"2",101,40.416439708936,"DEF16","DEF",16,-40.1207956916685,0.0535971947291799,1e+12
"3",229,2.2641338763941,"DEF20","DEF",20,-39.5733517797917,0.170013894426007,1e+17
"4",307,2.70627902979997,"DEF24","DEF",24,-39.0406463881741,0.148844355220727,1e+17
"5",401,34.7854105037175,"FULL12","FULL",12,-40.6835983666349,0.0578996091024898,1e+12
"6",559,18.2233439270396,"FULL16","FULL",16,-40.1207956916685,0.118806003362161,12767169562483432
"7",628,0.342661761300663,"FULL20","FULL",20,-39.5733517797917,0.19585114008414,1e+17
"8",705,0.31089351990338,"FULL24","FULL",24,-39.0406463881741,0.190330305775744,99999884993242976
