"","ssq","phosphorus","temperature","transformedtemperature","r","K","a","eps","m"
"1",127.033387812925,"DEF",12,-40.6835983666349,7.76412073098271,9526042358657.47,376.604815106351,1e-17,0.0233492554157903
"2",127.033387741612,"DEF",12,-40.6835983666349,3.13729424888692,77835622398501.7,392.627992410236,1e-17,0.0233492843954763
"3",127.033356281277,"DEF",12,-40.6835983666349,3.15868022305354,7383394694753.95,113.787664915892,1e-17,0.0233491970307215
"4",127.033387983795,"DEF",12,-40.6835983666349,8.07272376614738,53072732020416,344.268533449763,1e-17,0.0233492843125528
"5",127.033387358289,"DEF",12,-40.6835983666349,2.11289126410342,15805687171171.7,544.927262718685,1e-17,0.0233492845659739
"6",127.03337599747,"DEF",12,-40.6835983666349,9.15826548044667,85087383642052,648.042293752864,1e-17,0.0233491329331515
"7",127.033364172974,"DEF",12,-40.6835983666349,9.57975894315076,7813087930618.49,838.287493337657,1e-17,0.0233491866877102
"8",127.03336015844,"DEF",12,-40.6835983666349,3.50469982123932,22146942573310.6,953.845021988715,1e-17,0.0233492001095496
"9",127.033387382408,"DEF",12,-40.6835983666349,2.02007425843561,137759321133.755,529.638627299945,1e-17,0.0233492859591113
"10",127.033360567167,"DEF",12,-40.6835983666349,6.18113232242376,86031937187419.8,940.031957879317,1e-17,0.023349200366756
"11",127.03336003456,"DEF",12,-40.6835983666349,9.16938255995537,25989878282010.9,958.805415379428,1e-17,0.0233491957176848
"12",127.033387499892,"DEF",12,-40.6835983666349,0.337475358581144,49734094002078.7,470.178191709853,1e-17,0.0233492848621804
"13",127.033364800923,"DEF",12,-40.6835983666349,4.96628861353426,37577369669413.6,823.23565577745,1e-17,0.023349175342003
"14",127.033389325115,"DEF",12,-40.6835983666349,0.617382869604506,76659083165068.2,226.670621073764,1e-17,0.0233492731063264
"15",127.033358945115,"DEF",12,-40.6835983666349,6.54958025071598,27577206747701.8,1000,1e-17,0.0233492176229347
"16",127.033387956001,"DEF",12,-40.6835983666349,1.26306968555553,66355339619902.4,348.278667741646,1e-17,0.023349284159754
"17",127.033358947358,"DEF",12,-40.6835983666349,7.49237914335492,8388609647082.02,1000,1e-17,0.0233491985047235
"18",127.033369307848,"DEF",12,-40.6835983666349,0.6014334509615,80255643199388.8,736.509594720305,1e-17,0.0233492286998436
"19",127.033388833156,"DEF",12,-40.6835983666349,3.51117988970319,57689768987709.3,254.877257271706,1e-17,0.0233492898485799
"20",127.033364378746,"DEF",12,-40.6835983666349,4.33033393502702,20705937077147.3,832.899224267722,1e-17,0.0233491860446659
"21",127.033390299035,"DEF",12,-40.6835983666349,8.68751096831631,47066740525026.4,191.643948834901,1e-17,0.0233492939943277
"22",127.033365574103,"DEF",12,-40.6835983666349,4.04278677954545,76486737406524,806.178201299387,1e-17,0.0233491792827377
"23",127.033387819965,"DEF",12,-40.6835983666349,1.46218930204914,40405617775918.1,374.446234268618,1e-17,0.0233492843357878
"24",127.033363683564,"DEF",12,-40.6835983666349,5.08521035342264,23530792296314.1,849.772820806483,1e-17,0.0233491724142913
"25",127.033363872873,"DEF",12,-40.6835983666349,5.67435543533279,99020668889148.6,845.157584090001,1e-17,0.0233491857828345
"26",127.033368698962,"DEF",12,-40.6835983666349,5.74630975372247,94259064364017.7,747.122686301794,1e-17,0.0233493422418686
"27",127.033387642756,"DEF",12,-40.6835983666349,7.70215412474834,86298490484299.3,420.007998676755,1e-17,0.0233492843763751
"28",127.033388136797,"DEF",12,-40.6835983666349,1.66172496151238,50626769879276.8,320.758424598139,1e-17,0.0233492843908054
"29",127.033362405659,"DEF",12,-40.6835983666349,6.96760447880118,54541719391856.6,883.686279603624,1e-17,0.0233491967243952
"30",127.033366212369,"DEF",12,-40.6835983666349,6.79167285886876,15567271648172.8,793.209585030442,1e-17,0.0233491843614877
"31",127.033358943199,"DEF",12,-40.6835983666349,5.76740465072263,87991187700784.9,1000,1e-17,0.0233491985036587
"32",127.033363833172,"DEF",12,-40.6835983666349,2.67196272897141,83593421287925.7,845.831286225736,1e-17,0.0233491850343154
"33",127.033365949108,"DEF",12,-40.6835983666349,0.225145656199789,29187364046164.5,797.936980875016,1e-17,0.0233492064010313
"34",127.033373805469,"DEF",12,-40.6835983666349,0.148717789704475,60684491525721.6,672.746215472411,1e-17,0.0233491922007235
"35",127.033363408425,"DEF",12,-40.6835983666349,7.52105926099132,70648253034831.3,856.951512045592,1e-17,0.0233492016150104
"36",127.033368547315,"DEF",12,-40.6835983666349,4.18477005014005,98142677359473.2,749.539103969334,1e-17,0.0233491768205546
"37",127.033361479855,"DEF",12,-40.6835983666349,2.03750811420641,7553594805904.06,910.296528782694,1e-17,0.0233491932127389
"38",127.033387694714,"DEF",12,-40.6835983666349,5.7513791377866,45233432706131.8,404.999296988478,1e-17,0.0233492843015861
"39",127.033387687441,"DEF",12,-40.6835983666349,5.36030933862779,89303404425636.5,406.938896349894,1e-17,0.0233492842813992
"40",127.033360186162,"DEF",12,-40.6835983666349,9.50568558287495,38309453161151.3,953.470013983017,1e-17,0.0233491954734731
"41",127.033358944583,"DEF",12,-40.6835983666349,6.3295152085786,63803271752174,1000,1e-17,0.0233491978427513
"42",127.033359892253,"DEF",12,-40.6835983666349,7.77044541392571,52838189442817.4,963.790236913583,1e-17,0.0233492003891312
"43",127.033361413143,"DEF",12,-40.6835983666349,6.87397049654893,75118984974443.2,912.832153209405,1e-17,0.0233491942496482
"44",127.033387436714,"DEF",12,-40.6835983666349,6.77310787285987,45341786063359.3,500.129147894953,1e-17,0.0233492846079127
"45",127.033387431055,"DEF",12,-40.6835983666349,8.89261625650992,12822787068304.7,503.321411022878,1e-17,0.0233493790530204
"46",127.033364862788,"DEF",12,-40.6835983666349,5.58898337744805,21244778074412.1,821.900434217649,1e-17,0.0233492239906432
"47",127.033387953146,"DEF",12,-40.6835983666349,2.02851738879764,96877313601314.3,348.850169037702,1e-17,0.0233492839829436
"48",127.033362172799,"DEF",12,-40.6835983666349,6.63660916225773,40628948288945.1,890.241969773894,1e-17,0.0233492008838229
"49",127.033363734834,"DEF",12,-40.6835983666349,5.312075738268,4862866597757.81,848.517785033352,1e-17,0.0233491625333017
"50",127.033388587487,"DEF",12,-40.6835983666349,2.95657368518827,42074786750092.6,273.255167282101,1e-17,0.0233492814849212
"51",127.033363371904,"DEF",12,-40.6835983666349,4.42253610274267,61818276218458.1,857.574988243913,1e-17,0.0233491890993698
"52",127.033366221287,"DEF",12,-40.6835983666349,8.63605683348278,7600841439387.95,793.210225732115,1e-17,0.0233491945501161
"53",127.033387632897,"DEF",12,-40.6835983666349,3.9296136104338,32051765848562.6,422.619650161541,1e-17,0.0233492841178049
"54",127.033360386182,"DEF",12,-40.6835983666349,2.46516188643362,31001627605065.7,945.817907692762,1e-17,0.0233491977735336
"55",127.03338736957,"DEF",12,-40.6835983666349,4.94101727511665,63461772314169.2,537.947110113468,1e-17,0.0233492845327986
"56",127.033388567966,"DEF",12,-40.6835983666349,0.658200586178293,36309538451876.3,274.665507045128,1e-17,0.0233492843529079
"57",127.033369003216,"DEF",12,-40.6835983666349,5.25746825283184,98483221045861.8,741.973014918675,1e-17,0.0233491616691093
"58",127.033387984946,"DEF",12,-40.6835983666349,6.49850753003441,18751757634703.7,343.917291726264,1e-17,0.0233492857897277
"59",127.033364037407,"DEF",12,-40.6835983666349,9.73437871701514,59150788149774.1,841.562296053462,1e-17,0.0233491894694863
"60",127.033360497129,"DEF",12,-40.6835983666349,5.39334462018175,55972648952416.1,942.321752598167,1e-17,0.0233492072097242
"61",127.033363553378,"DEF",12,-40.6835983666349,1.77748014008656,74858134528420.8,852.702765945235,1e-17,0.0233492036566928
"62",127.033363414274,"DEF",12,-40.6835983666349,8.7271294574693,86076879370090.5,856.923017588577,1e-17,0.0233492008929769
"63",127.033358936813,"DEF",12,-40.6835983666349,3.17766173502355,54068465504126.9,1000,1e-17,0.0233491988325766
"64",127.033389074297,"DEF",12,-40.6835983666349,4.21242665804437,90995995475348,240.056135552471,1e-17,0.0233493351126053
"65",127.03336461918,"DEF",12,-40.6835983666349,1.54971145440054,37968558141077.4,827.039874754142,1e-17,0.0233491866564707
"66",127.033390036287,"DEF",12,-40.6835983666349,0.303609906686826,26499635865043.5,198.777413149188,1e-17,0.023349318639914
"67",127.033389374455,"DEF",12,-40.6835983666349,4.90296203604314,59572476625846,224.779810923445,1e-17,0.0233492858452449
"68",127.033369745659,"DEF",12,-40.6835983666349,9.10951899646017,53767211705026.4,730.350124186688,1e-17,0.0233492109409262
"69",127.033388486261,"DEF",12,-40.6835983666349,3.99160580813692,75508627433046.5,282.20905841135,1e-17,0.0233492844375042
"70",127.033387567266,"DEF",12,-40.6835983666349,2.33425423091188,5947394194268.53,444.186573750503,1e-17,0.023349284366778
"71",127.033365338961,"DEF",12,-40.6835983666349,0.517159645585008,19896327988257.3,810.873812618893,1e-17,0.0233492073622321
"72",127.033387394432,"DEF",12,-40.6835983666349,6.1108124127591,14366491907841.5,523.008308820092,1e-17,0.0233492845079495
"73",127.033388661962,"DEF",12,-40.6835983666349,1.08232160199432,2520590657833.47,267.05990499927,1e-17,0.0233492832757573
"74",127.033360832005,"DEF",12,-40.6835983666349,1.43174066293327,15224563167188.7,930.758525976553,1e-17,0.0233491997272435
"75",127.033388156844,"DEF",12,-40.6835983666349,1.81189844099471,53417973184242.7,318.103603868638,1e-17,0.0233492843920311
"76",127.033358951239,"DEF",12,-40.6835983666349,9.03025918395303,46382013043751.6,1000,1e-17,0.0233491989631152
"77",127.033387414144,"DEF",12,-40.6835983666349,4.90008016707433,68069760563698.4,511.802188957481,1e-17,0.0233492847775936
"78",127.033387535179,"DEF",12,-40.6835983666349,9.92536584246923,72080003568450.5,457.039436434119,1e-17,0.023349438215197
"79",127.033388825136,"DEF",12,-40.6835983666349,6.84048433963052,58761534153143.9,255.756408933193,1e-17,0.0233492828863104
"80",127.03336158265,"DEF",12,-40.6835983666349,4.98502927867411,49559607507993.6,907.460985376526,1e-17,0.0233491379412465
"81",127.033387387944,"DEF",12,-40.6835983666349,9.29460716593911,99829962260004.2,527.147501038327,1e-17,0.0233492845873575
"82",127.033388666976,"DEF",12,-40.6835983666349,4.90279481339313,77986310617272.8,267.056622378707,1e-17,0.0233492844043094
"83",127.033388816973,"DEF",12,-40.6835983666349,6.48525227780781,56216192047789.6,256.278021689723,1e-17,0.0233492845442009
