List File,20-APRIL8-R2.lst
Start Time,2016-04-08  14:51:50
Sampling Time,30 sec

Count,1772
Particles / ml,145929

Efficiency,15.9%
PPUI,5.02

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),55.87,19.60,761.80,56.37,100.90
Aspect Ratio,0.87,0.38,1.00,0.11,12.89
Circle Fit,0.80,0.00,0.96,0.15,18.79
Circularity (Hu),0.95,0.37,1.00,0.08,8.27
Compactness,1.41,1.00,10.28,0.51,35.95
Diameter (ABD),7.99,5.00,31.14,2.71,33.93
Diameter (ESD),9.11,5.26,46.65,3.49,38.36
Elongation,1.98,1.00,30.26,1.67,84.13
Geodesic Aspect Ratio,0.70,0.03,1.00,0.31,43.60
Geodesic Length,12.78,5.86,152.45,8.96,70.08
Geodesic Thickness,7.12,2.19,14.09,1.66,23.29
Intensity,131.38,93.40,178.94,12.16,9.26
Length,10.17,5.50,60.40,4.35,42.76
Perimeter,39.81,23.42,314.98,17.77,44.62
Roughness,1.20,1.03,2.41,0.16,13.04
Sigma Intensity,35.80,5.71,53.54,9.40,26.25
Sum Intensity,39081.38,15376.00,3.11e+005,26168.67,66.96
Transparency,0.12,0.03,0.40,0.05,46.65
Volume (ABD),394.96,65.29,15817.14,936.43,237.09
Width,7.84,3.59,28.91,2.59,33.11

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,63,3.56,0.71,5188,0.41
6-7um,288,16.25,4.60,23718,2.65
7-8um,401,22.63,9.25,33023,5.32
8-9um,362,20.43,11.55,29812,6.65
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1383,78.05,37.69,113894,22
10-15um,306,17.27,24.09,25200,14
15-20um,46,2.60,9.70,3788,5.58
20-25um,17,0.96,8.48,1400,4.88
25-30um,6,0.34,5.53,494,3.18
30-35um,7,0.40,9.18,576,5.28
35-40um,1,0.06,1.37,82,0.79
40-45um,1,0.06,2.26,82,1.30
45-50um,1,0.06,1.61,82,0.93
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,260,14.67,11.35,21412,6.54
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

