date,time,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
05.05.1615:12:50,1,1.94,10.06,10.07,9.84,9.22,7.37,9.43,7.98,12.54,10.13,8.42,9.07,8.4,8.34,10.44,11.4,6.34,9.59,8.99,8.04,7.88,11.72,11.67
05.05.1615:13:06,17,1.92,10.1,10.1,9.88,9.23,7.37,9.43,7.95,12.58,10.12,8.47,9.05,8.31,8.31,10.47,11.41,6.21,9.62,9.03,8.05,7.82,11.58,11.63
05.05.1615:13:21,32,1.95,10.09,10.1,9.87,9.25,7.34,9.43,7.95,12.58,10.1,8.41,9.03,8.2,8.26,10.5,11.44,6.16,9.53,8.95,7.91,7.75,11.7,11.64
05.05.1615:13:36,47,1.94,10.07,10.1,9.85,9.23,7.3,9.42,7.94,12.55,10.06,8.34,9.05,8.31,8.24,10.44,11.44,6.1,9.52,9.07,7.91,7.77,11.72,11.6
05.05.1615:13:51,62,1.94,10.12,10.1,9.9,9.22,7.33,9.43,7.93,12.73,10.03,8.31,9.03,8.3,8.22,10.44,11.46,6.11,9.48,9,7.91,7.72,11.7,11.7
05.05.1615:14:06,77,1.93,10.09,10.13,9.88,9.2,7.29,9.42,7.86,12.82,10,8.27,9.02,8.31,8.17,10.47,11.5,5.95,9.65,8.95,7.94,7.75,11.53,11.53
05.05.1615:14:21,92,1.94,10.07,10.12,9.87,9.2,7.22,9.42,7.83,12.82,9.97,8.27,9.02,8.26,8.22,10.56,11.49,5.94,9.58,9.03,8.01,7.71,11.7,11.64
05.05.1615:14:36,107,1.92,10.12,10.1,9.88,9.17,7.19,9.4,7.84,12.77,9.94,8.27,8.99,8.33,8.16,10.59,11.5,5.93,9.59,8.97,7.9,7.67,11.61,11.64
05.05.1615:14:51,122,1.93,10.12,10.12,9.88,9.17,7.15,9.4,7.82,12.77,9.91,8.23,8.97,8.24,8.23,10.55,11.46,5.83,9.48,8.9,7.99,7.58,11.66,11.58
05.05.1615:15:06,137,1.92,10.06,10.1,9.87,9.16,7.14,9.37,7.82,12.82,9.9,8.17,8.96,8.24,8.11,10.61,11.32,5.83,9.56,8.95,7.87,7.58,11.53,11.61
05.05.1615:15:21,152,1.94,10.07,10.12,9.87,9.19,7.1,9.37,7.8,12.87,9.88,8.26,8.95,8.3,8.12,10.61,11.37,5.68,9.64,8.93,7.98,7.54,11.56,11.64
05.05.1615:15:36,167,1.94,10.1,10.12,9.9,9.17,7.08,9.39,7.79,12.89,9.85,8.19,8.96,8.33,8.09,10.59,11.43,5.74,9.65,8.86,7.93,7.46,11.64,11.55
