channel,Before,After,daph_plus_water,water,mean_water,daph_minus_water
A1,56.0652,56.0657,0.0005,,,
A2,57.7195,53.7199,-3.9996,,,
A3,55.2431,55.256,0.0129,,,
A4,54.9108,54.9306,0.0198,,,
A5,54.5148,54.5421,0.0273,,,
A6,53.8603,53.877,0.0167,0.019175,0.019175,
B1,53.9322,53.9986,0.0664,,0.019175,0.047225
B2,53.0754,53.1362,0.0608,,0.019175,0.041625
B3,54.9625,54.986,0.0235,,0.019175,0.004325
B4,54.6966,54.7734,0.0768,,0.019175,0.057625
B5,54.1293,54.2196,0.0903,,0.019175,0.071125
B6,54.9597,55.0578,0.0981,,0.019175,0.078925
C1,55.9512,56.0317,0.0805,,0.019175,0.061325
C3,53.9967,54.1022,0.1055,,0.019175,0.086325
C4,54.4952,55.5758,1.0806,,0.019175,1.061425
C5,55.1164,55.2048,0.0884,,0.019175,0.069225
C6,55.2573,55.3454,0.0881,,0.019175,0.068925
D1,53.8989,53.9971,0.0982,,0.019175,0.079025
D2,54.8825,54.9861,0.1036,,0.019175,0.084425
D3,53.4927,53.5525,0.0598,,0.019175,0.040625
D4,54.5613,54.5914,0.0301,,0.019175,0.010925
D5,54.0971,54.1878,0.0907,,0.019175,0.071525
D6,55.1637,55.1991,0.0354,,0.019175,0.016225
