channel,difference,water_weight,daph_weight,daph_weight_median
A5,0.2636,0.09838333333,0.1652166667,0.08021666667
A6,0.1786,0.09838333333,0.08021666667,0.08021666667
B1,0.14765,0.09838333333,0.04926666667,0.08021666667
B2,0.1215,0.09838333333,0.02311666667,0.08021666667
B3,0.11815,0.09838333333,0.01976666667,0.08021666667
B4,0.1544,0.09838333333,0.05601666667,0.08021666667
B5,0.1763,0.09838333333,0.0779,0.08021666667
B6,0.1884,0.09838333333,0.09001666667,0.08021666667
C1,0.1612,0.09838333333,0.06281666667,0.08021666667
C3,0.146,0.09838333333,0.04761666667,0.08021666667
C4,0.10885,0.09838333333,0.01046666667,0.08021666667
C5,0.1879,0.09838333333,0.08951666667,0.08021666667
C6,0.1516666667,0.09838333333,0.05328333333,0.08021666667
D1,0.1823333333,0.09838333333,0.08395,0.08021666667
D2,0.2127,0.09838333333,0.1143166667,0.08021666667
D3,0.2124,0.09838333333,0.1140166667,0.08021666667
D4,0.2108,0.09838333333,0.1124166667,0.08021666667
D5,0.1877333333,0.09838333333,0.08935,0.08021666667
D6,0.1827,0.09838333333,0.0843,0.08021666667
