date,time,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
06.05.1610:58:07,1,2.61,11.57,11.33,10.92,12.83,9.06,8.77,10.45,13.09,12.38,9.11,8.46,9.41,9.77,8.72,9.46,8.55,9.38,10.59,10.53,8.95,9.5,10.89
06.05.1610:58:22,16,2.6,11.55,11.32,10.87,12.83,9.03,8.74,10.38,13.09,12.29,9.14,8.43,9.31,9.77,8.75,9.47,8.61,9.27,10.51,10.46,9.08,9.55,10.86
06.05.1610:58:37,31,2.6,11.58,11.3,10.86,12.83,9,8.71,10.37,13.07,12.19,9.05,8.4,9.39,9.6,8.61,9.41,8.46,9.28,10.56,10.48,8.99,9.42,10.84
06.05.1610:58:52,46,2.58,11.57,11.25,10.84,12.83,9,8.69,10.33,13.05,12.12,9.02,8.37,9.3,9.66,8.58,9.38,8.49,9.22,10.61,10.5,8.89,9.58,10.87
06.05.1610:59:07,61,2.6,11.6,11.23,10.84,12.77,8.97,8.61,10.3,13.03,12.02,9.11,8.35,9.25,9.71,8.63,9.39,8.4,9.27,10.43,10.37,8.81,9.54,10.81
06.05.1610:59:22,76,2.61,11.62,11.28,10.84,12.83,8.92,8.63,10.3,13.03,11.95,9.02,8.34,9.3,9.66,8.61,9.35,8.46,9.25,10.48,10.4,8.89,9.42,10.76
06.05.1610:59:37,91,2.61,11.62,11.3,10.86,12.83,8.92,8.63,10.27,13.03,11.94,8.95,8.31,9.28,9.55,8.64,9.39,8.4,9.1,10.45,10.37,8.88,9.44,10.81
06.05.1610:59:52,106,2.58,11.6,11.23,10.77,12.79,8.89,8.63,10.25,13.02,11.84,9,8.28,9.24,9.52,8.44,9.39,8.31,9.2,10.46,10.32,8.74,9.31,10.71
06.05.1611:00:07,121,2.58,11.65,11.23,10.81,12.81,8.83,8.57,10.25,13.07,11.79,8.95,8.26,9.2,9.58,8.54,9.39,8.31,9.13,10.37,10.43,8.81,9.38,10.79
06.05.1611:00:22,136,2.57,11.65,11.22,10.79,12.76,8.81,8.58,10.22,13.02,11.7,9.02,8.25,9.05,9.54,8.44,9.31,8.31,9.11,10.32,10.42,8.77,9.41,10.74
06.05.1611:00:37,151,2.6,11.67,11.2,10.81,12.79,8.77,8.55,10.22,13.03,11.68,8.88,8.23,9.14,9.6,8.46,9.38,8.31,9.03,10.45,10.4,8.72,9.35,10.68
06.05.1611:00:52,166,2.57,11.7,11.2,10.79,12.77,8.77,8.55,10.19,13.02,11.62,8.94,8.2,9.06,9.58,8.37,9.41,8.25,9.1,10.42,10.33,8.68,9.31,10.71
06.05.1611:01:07,181,2.58,11.72,11.19,10.77,12.77,8.74,8.55,10.16,13.02,11.57,8.91,8.22,9.13,9.42,8.4,9.38,8.15,8.95,10.42,10.29,8.58,9.27,10.64
06.05.1611:01:22,196,2.56,11.77,11.19,10.76,12.79,8.71,8.54,10.16,13.03,11.53,8.92,8.18,9.03,9.49,8.35,9.3,8.15,8.92,10.4,10.35,8.6,9.25,10.61
06.05.1611:01:37,211,2.58,11.74,11.22,10.79,12.81,8.68,8.54,10.14,13,11.47,8.92,8.18,9.05,9.52,8.28,9.27,8.12,8.92,10.42,10.33,8.6,9.28,10.69
06.05.1611:01:52,226,2.57,11.79,11.2,10.77,12.77,8.63,8.52,10.16,13.02,11.45,8.86,8.17,9.02,9.52,8.22,9.38,7.96,8.91,10.3,10.43,8.55,9.28,10.66
06.05.1611:02:07,241,2.56,11.79,11.2,10.76,12.74,8.61,8.48,10.13,13,11.35,8.86,8.17,8.94,9.36,8.17,9.36,7.96,8.97,10.37,10.25,8.54,9.19,10.66
06.05.1611:02:22,256,2.57,11.8,11.2,10.72,12.74,8.6,8.44,10.08,13,11.32,8.75,8.14,8.89,9.33,8.11,9.28,7.9,8.78,10.27,10.25,8.51,9.19,10.64
06.05.1611:02:37,271,2.56,11.8,11.19,10.72,12.72,8.6,8.46,10.09,13.02,11.27,8.77,8.12,8.89,9.3,8.11,9.28,7.85,8.72,10.21,10.27,8.41,9.22,10.53
06.05.1611:02:52,286,2.58,11.87,11.2,10.77,12.76,8.52,8.46,10.11,12.98,11.22,8.74,8.15,8.92,9.39,8.18,9.3,7.91,8.77,10.3,10.35,8.43,9.16,10.55
06.05.1611:03:07,301,2.57,11.84,11.19,10.74,12.76,8.52,8.43,10.06,13,11.19,8.69,8.12,8.88,9.44,8.11,9.31,7.85,8.71,10.24,10.35,8.44,9.05,10.5
