uniqueID,P,inverse_temp,max_biovol_growth,mean_biovol_growth
1,FULL,39.5871292029482,11.5402671514964,2.52446681962295
2,FULL,39.5871292029482,4.76516569489746,1.62169395312527
3,FULL,39.5871292029482,4.59243857496783,0.860425241766096
4,FULL,39.5871292029482,37.5024086005222,5.66951485110325
5,FULL,39.5871292029482,6.22034967749744,1.5427761499043
6,FULL,39.5871292029482,8.21646346267553,1.22228766569995
7,DEF,39.5871292029482,36.9122889319147,6.29572964068274
8,DEF,39.5871292029482,14.9190865935533,2.31789896933766
9,DEF,39.5871292029482,7.55294456355953,1.36452300991838
10,DEF,39.5871292029482,34.3192075260931,4.92494208106908
11,DEF,39.5871292029482,13.9471403803708,2.18826054029884
12,DEF,39.5871292029482,8.056060456031,1.42718714284186
13,FULL,40.1347637068797,95.2958671006079,12.2875101524072
14,FULL,40.1347637068797,7.16982906412233,2.29429010321074
15,FULL,40.1347637068797,4.92428557312273,1.26240447456808
16,FULL,40.1347637068797,39.2901323483422,4.90097086560216
17,FULL,40.1347637068797,18.3388408854762,3.27296786913153
18,FULL,40.1347637068797,39.1685472103192,6.3264315392025
19,DEF,40.1347637068797,145.205360999823,19.2465144533288
20,DEF,40.1347637068797,94.9399799005632,21.4964803918931
21,DEF,40.1347637068797,35.0724242810379,4.45626912346171
22,DEF,40.1347637068797,46.8201827589118,6.1893340212336
23,DEF,40.1347637068797,58.9532378952258,7.41009811431324
24,DEF,40.1347637068797,13.2931150991536,3.60160506090112
25,FULL,39.0542383504771,158.826369710998,21.6277316986301
26,FULL,39.0542383504771,9.24185918843497,2.0320591864257
27,FULL,39.0542383504771,48.9342749771147,6.11881851163813
28,FULL,39.0542383504771,20.1895224757639,2.77635540210053
29,FULL,39.0542383504771,14.9844344136396,2.01033707773488
30,FULL,39.0542383504771,18.5459327349662,2.37593690195416
31,DEF,39.0542383504771,1.83148046797651,0.312492044697846
32,DEF,39.0542383504771,24.4978090698795,4.27377028906578
33,DEF,39.0542383504771,50.217738735648,7.84551247950607
34,DEF,39.0542383504771,99.6896464407838,12.7845122231785
35,DEF,39.0542383504771,3.3723820632665,0.617377020901909
36,DEF,39.0542383504771,742.477142719406,106.179668232157
37,FULL,40.697762321039,13.2640746462096,1.85711675811863
38,FULL,40.697762321039,13.1924243274631,1.52211623180677
39,FULL,40.697762321039,22.5589893979275,3.56390893677741
40,FULL,40.697762321039,8.87120197474667,1.92448650435608
41,FULL,40.697762321039,17.1412023286328,2.53142713815786
42,FULL,40.697762321039,12.5543928760159,2.23328915496854
43,DEF,40.697762321039,41.6902984794564,5.46196129901205
44,DEF,40.697762321039,15.3542550272492,1.9583896347239
45,DEF,40.697762321039,5.28768577693185,0.660550288873137
46,DEF,40.697762321039,24.2235677289349,4.33997461620204
47,DEF,40.697762321039,4.7763120127453,0.826278461281749
48,DEF,40.697762321039,9.87589602507164,1.49014899899088
49,FULL,40.697762321039,1.44948340001339,0.297904761917066
50,DEF,40.697762321039,2.69893843686332,0.548221267427459
51,DEF,40.697762321039,11.4792733866002,1.77361851768756
52,DEF,40.697762321039,5.31754736578236,0.982338890282963
53,DEF,40.697762321039,5.27670236157309,1.18262247553429
54,FULL,40.697762321039,4.49245783931083,1.0160447324407
55,FULL,40.697762321039,2.64266393863091,0.748813505496113
56,FULL,40.697762321039,2.1106100267413,0.518828604218109
57,DEF,40.1347637068797,7.91469523133782,1.15815553379406
58,DEF,40.1347637068797,3.78292915672054,0.650351223847157
59,DEF,40.1347637068797,4.62891806338925,0.786058407131723
60,FULL,40.1347637068797,7.85962188479819,3.00011122720514
61,FULL,40.1347637068797,4.50110338172005,1.40350964856689
62,FULL,40.1347637068797,4.99982358418588,1.91281766977657
63,DEF,39.5871292029482,38.9934155780172,8.60196309478222
64,DEF,39.5871292029482,16.3744903328704,5.16428046993032
65,DEF,39.5871292029482,14.4376914085642,5.20115509739904
66,FULL,39.5871292029482,10.8381852340612,3.74327194446075
67,FULL,39.5871292029482,18.5074918344165,4.50565256439043
68,FULL,39.5871292029482,55.4872827225757,11.4477853284693
69,DEF,39.0542383504771,14.6857699041254,4.76237039773005
70,DEF,39.0542383504771,14.2909536182544,4.46831880703629
71,DEF,39.0542383504771,11.3219118376849,3.57938628862585
72,FULL,39.0542383504771,21.9957728007313,5.25601404450121
73,FULL,39.0542383504771,7.87342426353797,2.8704263534703
74,FULL,39.0542383504771,19.2641123363854,4.50639254391985
