log_mass_mg,log_respiration_mg_hour
-4.826716016,-3.999857459
-4.492597577,-3.385061729
-4.163526245,-3.502989477
-4.222072678,-2.906616412
-4.193808883,-3.021088274
-4.114064603,-3.005728781
-4.174629879,-2.921609372
-4.041386272,-2.936355068
-4.067631225,-2.813231855
-4.142328398,-2.748605622
-4.085800808,-2.633889404
-3.982839838,-2.745984617
-3.894010767,-2.672241594
-3.814266487,-2.501262504
-3.927321669,-2.462683412
