replicate,term,estimate,std.error,statistic,p.value
1,B0,1.5845730931420554,0.10550668195904445,15.018698946073904,5.384704348230662e-12
1,E,3.199230146136695,0.30513466332798916,10.484649994346409,2.442442364210524e-9
1,E_D,7.711955590145802,2.4500310882607956,3.1476970341712236,0.005299748018569226
1,T_h,294.2613469079966,0.6661873638707324,441.70958932372565,1.402905259628821e-39
2,B0,1.5537477400386848,0.21482604211907302,7.232585606066693,7.246155769916855e-7
2,E,3.064753682796405,0.7952081582660407,3.8540269625491903,0.0010693924122980411
2,E_D,4.838401851771519,2.264110795856562,2.1369987107636432,0.04581856450181791
2,T_h,294.99067111037243,0.7882578121604031,374.2312052726533,3.272033086595e-38
3,B0,1.632359387046065,0.15332744927459604,10.646230631037579,1.901613038418807e-9
3,E,3.9281924094173735,0.8805514923463987,4.4610592833701865,2.6784696094634466e-4
3,E_D,5.280275757774626,0.66836524795627394,7.900284722942498,2.0181331470866848e-7
3,T_h,293.5339756687579,0.911487346255616,322.0384538245029,5.676020637956779e-37
4,B0,1.4418820915435566,0.16013191637203159,9.004339198649555,2.7718900472413296e-8
4,E,3.9107404367680485,0.5059413957605478,7.729631276542009,2.782079704884616e-7
4,E_D,5.289212609013835,0.8724206795574617,6.062685964409745,7.862428608646652e-6
4,T_h,294.390506465704,0.7028865696793746,418.83074618994607,3.853475235591398e-39
5,B0,1.6042477291190613,0.19151144477009954,8.376772109076223,8.404376730482627e-8
5,E,2.794634785112017,0.5271621243664087,5.301281438743086,4.074345722675583e-5
5,E_D,23.762046231799655,60566.653293923824,3.9232886315320836e-4,0.9996910568729733
5,T_h,295.98041960306995,2051.6001047157215,0.1442680856384935,0.8868080383520145
6,B0,1.5850572089813328,0.12110530568540355,13.088255712750122,5.9001428917684e-11
6,E,3.7076651723606915,0.3519834605297433,10.533634639481551,2.2633038728148922e-9
6,E_D,6.530329018895946,1.0189492541928764,6.408885419979731,3.810035412971609e-6
6,T_h,293.79874294027286,0.4408582371934011,666.4245286889935,5.669883094563446e-43
7,B0,1.3564030754941627,0.1359382511077505,9.978082434053233,5.45231040716995e-9
7,E,4.156733310196314,0.4032855635613399,10.307171110934332,3.2256902409395644e-9
7,E_D,6.027228893030722,0.5174920315172898,11.646998457848422,4.282800488813421e-10
7,T_h,293.3309448005179,0.3938524104105537,744.7737706994056,6.86140435740505e-44
8,B0,1.663962077457572,0.24625181306253574,6.75715665506596,1.8677729416835828e-6
8,E,3.622087397545042,0.6324564288975573,5.727014908930165,1.610275513061887e-5
8,E_D,6.628474741131274,1.1155963321383409,5.941642644545108,1.0165558904997279e-5
8,T_h,293.6639975125318,0.7291923143546687,402.7250311495986,8.116832029986264e-39
9,B0,1.4638625117642095,0.14370625634038084,10.186491173334327,3.904921315343875e-9
9,E,3.892966155852602,0.5601901815581747,6.949365204910013,1.2690496819485411e-6
9,E_D,5.053864683645428,0.9883209242864285,5.113586649290399,6.172640379539237e-5
9,T_h,294.0368892405461,0.7302079795788637,402.6755355510184,8.135807104479113e-39
10,B0,1.6058668126808386,0.19306814200167333,8.31761675453903,9.35486529191932e-8
10,E,2.9683388723759694,0.4538097222839165,6.540932744757043,2.9021279939755168e-6
10,E_D,24.45437418443401,67504.4573752638,3.622631028420802e-4,0.9997147324432254
10,T_h,296.0082111735192,2169.4997713870657,0.1364407662436705,0.8929081774221511
11,B0,1.5866689163782428,0.1454877294922573,10.905860734204968,1.279240080854093e-9
11,E,3.194582535196191,0.5842220757883013,5.468096238721694,2.825161441549067e-5
11,E_D,4.854900136395535,1.2595805013980965,3.8543786054219966,0.00106853408394615
