ID,Phosphorus,temp,r,K
49,FULL,12.0,0.12062538030464659,7.8785058000572254
50,DEF,12.0,0.2691431231368361,8.143457194104352
51,DEF,12.0,1.0,5.0
52,DEF,12.0,0.6358439161441845,7.90487004494067
53,DEF,12.0,0.41053093214608904,7.88185977424222
54,FULL,12.0,1.0,5.0
55,FULL,12.0,0.30667220686329355,8.010132885319829
56,FULL,12.0,0.2730576022441066,7.953951523199689
57,DEF,16.0,5.023630303523877,7.710570229055957
58,DEF,16.0,0.31230461655231256,7.730502472257593
59,DEF,16.0,0.5533666374849395,7.929131813571861
60,FULL,16.0,0.11241093268151545,18.52085623037008
61,FULL,16.0,0.5347847184264551,8.054621204855327
62,FULL,16.0,0.5723103201170053,8.255585267841909
63,DEF,20.0,0.12614611876979098,19.50828864755957
64,DEF,20.0,0.1106327660142197,18.986254038550076
65,DEF,20.0,0.11852315162286928,19.262666719700686
66,FULL,20.0,0.1401391110286856,20.226725334532873
67,FULL,20.0,0.13537693521565353,19.92477441806204
68,FULL,20.0,0.1360296610606828,19.89842064372871
69,DEF,24.0,0.1,9.602417383355586
70,DEF,24.0,0.1,9.087342094874845
71,DEF,24.0,0.1,9.452514418449347
72,FULL,24.0,0.11702102697183422,10.322724099153483
73,FULL,24.0,0.11273799582969543,19.99014370412375
74,FULL,24.0,0.11141031136979836,19.70136186845702
