Unique_ID,date,copy,cell_count
1,MAY4,R1,5526
10,MAY4,R1,6130
11,MAY4,R3,4510
12,MAY4,R1,11446
13,MAY4,R1,14055
14,MAY4,R1,371087
15,MAY4,R1,9636
16,MAY4,R2,1126
17,MAY4,R1,20962
18,MAY4,R1,12788
19,MAY4,R1,8599
2,MAY4,R2,1734719
20,MAY4,R1,3031
21,MAY4,R1,14324
22,MAY4,R1,2129
23,MAY4,R1,8430
24,MAY4,R1,5159
25,MAY4,R1,864
26,MAY4,R1,6387
27,MAY4,R1,161
28,MAY4,R1,2338
29,MAY4,R1,1743
3,MAY4,R1,6006
30,MAY4,R1,846
31,MAY4,R1,1514
32,MAY4,R1,2763
33,MAY4,R1,4833
34,MAY4,R1,2782
35,MAY4,R1,3359
36,MAY4,R1,2086
37,MAY4,R1,13163
38,MAY4,R1,10283
39,MAY4,R1,27110
4,MAY4,R1,16057
40,MAY4,R1,11442
41,MAY4,R1,11127
42,MAY4,R1,23395
43,MAY4,R1,1060
44,MAY4,R1,8591
45,MAY4,R1,6208
46,MAY4,R1,2683
47,MAY4,R1,4739
48,MAY4,R1,1214
49,MAY4,R1,34961
5,MAY4,R1,799
50,MAY4,R1,22095
51,MAY4,R1,150399
52,MAY4,R1,44485
53,MAY4,R1,32095
54,MAY4,R1,59604
55,MAY4,R1,75332
56,MAY4,R1,50022
57,MAY4,R1,30292
58,MAY4,R2,19869
59,MAY4,R1,56615
60,MAY4,R1,1069345
61,MAY4,R1,79262
62,MAY4,R1,98515
63,MAY4,R1,2284311
64,MAY4,R1,1423809
65,MAY4,R1,1908510
66,MAY4,R1,2858638
67,MAY4,R1,1934881
68,MAY4,R1,3165125
69,MAY4,R1,1258716
7,MAY4,R1,1661905
70,MAY4,R1,517217
71,MAY4,R1,1130234
72,MAY4,R1,2991666
73,MAY4,R1,2437690
74,MAY4,R1,2460303
8,MAY4,R1,3579
9,MAY4,R1,10803
