UniqueID,Weight_before1,Weight_before2,Weight_after1,Weight_after2,Weight_after3,difference,sample_weight,sample_weight_adjusted,treatment,temperature,replicate
1,53.2753,NA,NA,NA,NA,0,NA,NA,FULL,20,1
2,54.8487,54.8493,56.4819,56.4841,NA,0.0022,3.0736,3.0736,FULL,20,2
3,54.0255,NA,57.2954,57.3142,NA,0.0188,3.2793,NA,FULL,20,3
4,54.7174,NA,56.9093,56.9133,NA,0.004,2.1939,NA,FULL,20,4
5,54.9456,NA,57.3945,57.4018,NA,0.0073,2.45255,NA,FULL,20,5
6,53.1607,NA,58.5683,58.5901,NA,0.0218,5.4185,NA,FULL,20,6
7,54.7809,NA,55.0543,55.0579,NA,0.0036,0.2752,NA,DEF,20,1
8,54.2465,NA,58.3336,58.3482,NA,0.0146,4.0944,NA,DEF,20,2
9,55.3229,NA,59.153,59.1623,NA,0.0093,3.83475,NA,DEF,20,3
10,53.6348,NA,55.9491,55.9563,NA,0.0072,2.3179,NA,DEF,20,4
11,54.8944,NA,57.696,57.7067,NA,0.0107,2.80695,NA,DEF,20,5
12,54.6551,NA,57.9571,57.9862,NA,0.0291,3.31655,NA,DEF,20,6
13,54.937,NA,56.4313,56.4323,NA,0.001,1.4948,NA,FULL,16,1
14,53.8762,NA,58.9845,59.0103,NA,0.0258,5.1212,NA,FULL,16,2
15,55.6746,NA,57.5287,57.5326,NA,0.0039,1.85605,NA,FULL,16,3
16,55.3335,55.3302,56.1497,56.1361,NA,-0.0136,0.8094,NA,FULL,16,4
17,54.9463,NA,55.6307,55.6869,NA,0.0562,0.7125,NA,FULL,16,5
18,54.9678,NA,57.5339,57.5135,57.5264,-0.0204,2.5559,NA,FULL,16,6
19,55.6021,NA,58.2939,58.308,NA,0.0141,2.69885,NA,DEF,16,1
20,55.8094,NA,56.7987,56.7943,NA,-0.0044,0.9871,NA,DEF,16,2
21,54.9841,NA,55.7799,55.7901,NA,0.0102,0.8009,NA,DEF,16,3
22,54.0543,54.0519,54.1831,54.1833,NA,2e-04,0.1289,NA,DEF,16,4
23,54.5466,54.5507,55.4474,55.4545,NA,0.0071,0.90435,NA,DEF,16,5
24,54.0413,54.0365,54.1277,54.1079,NA,-0.0198,0.0765,NA,DEF,16,6
25,55.3932,NA,58.0601,58.0642,NA,0.0041,2.66895,NA,FULL,24,1
26,55.5593,55.5614,60.2343,60.2675,60.2478,0.0332,4.6916,NA,FULL,24,2
27,55.0216,NA,58.7586,58.7693,NA,0.0107,3.74235,NA,FULL,24,3
28,58.6616,NA,60.164,60.1699,NA,0.0059,1.50535,NA,FULL,24,4
29,56.7019,NA,59.246,59.2496,59.2713,0.0036,2.5459,NA,FULL,24,5
30,56.221,56.2082,58.0948,58.0885,NA,-0.0063,1.87065,NA,FULL,24,6
31,58.718,NA,59.9641,59.9593,NA,-0.0048,1.2437,NA,DEF,24,1
32,56.7239,NA,58.2749,58.2792,NA,0.0043,1.55315,NA,DEF,24,2
33,56.8714,56.874,58.948,58.9578,58.9723,0.0098,2.0815,NA,DEF,24,3
34,58.5278,NA,59.1931,59.1977,NA,0.0046,0.6676,NA,DEF,24,4
35,58.0228,NA,58.4922,58.49,NA,-0.0022,0.4683,NA,DEF,24,5
36,56.2714,NA,57.3815,57.3849,NA,0.0034,1.1118,NA,DEF,24,6
37,57.007,NA,57.4424,57.4453,NA,0.0029,0.43685,NA,FULL,12,1
38,58.2885,NA,58.3053,58.3072,NA,0.0019,0.01775,NA,FULL,12,2
39,56.6458,NA,56.7759,56.777,NA,0.0011,0.13065,NA,FULL,12,3
40,57.6588,57.6514,57.745,57.733,NA,-0.012,0.0802,NA,FULL,12,4
41,58.8316,NA,59.1808,59.1816,NA,8e-04,0.3496,NA,FULL,12,5
42,56.9069,NA,57.0174,57.0166,NA,-8e-04,0.1101,NA,FULL,12,6
43,59.6965,NA,61.1429,61.1287,61.1641,-0.0142,0,NA,DEF,12,1
44,57.7292,NA,57.7326,57.75,NA,0.0174,0.0121,NA,DEF,12,2
45,58.2752,NA,58.3001,58.2888,NA,-0.0113,0.01925,NA,DEF,12,3
46,58.0429,NA,58.0217,58.0409,NA,0.0192,-0.0116,NA,DEF,12,4
47,56.1696,NA,56.2023,56.2026,NA,3e-04,0.03285,NA,DEF,12,5
48,57.5048,57.5229,57.5283,57.5283,NA,0,0.0235,NA,DEF,12,6
