term,estimate,std.error,statistic,p.value,phosphorus
B0,17.561708565134207,0.17754489538317497,98.9141846473973,5.596417443897591e-15,replete
E,3.470180288345249,0.48188168717558505,7.201311817190526,5.075983461548103e-5,replete
E_D,34.196316303664744,11983885.62789214,2.853524922173308e-6,0.9999977854654337,replete
T_h,296.28328715690606,216544.46010297438,0.001368233050229099,0.9989381559941963,replete
B0,16.36015473575939,0.6135145577503517,26.666286120005296,7.093501710033882e-10,deficient
E,3.356692354553689,1.6651644111513377,2.015832389927662,0.07462237039043992,deficient
E_D,34.09492605656074,53223601.232775316,6.405978788892049e-7,0.9999995028513209,deficient
T_h,296.35950435054133,846230.1409140555,3.5021147324110745e-4,0.9997282114519632,deficient
