photo,UniqueID,date,type,Area,Angle,Length,treatment,temperature,replicate
378,3,May3,size,0.0001805,-153.435,0.098,FULL,20,3
378,3,May3,size,0.0002643,78.551,0.145,FULL,20,3
378,3,May3,size,0.000303,-50.667,0.167,FULL,20,3
378,3,May3,size,0.0002707,87.93,0.149,FULL,20,3
378,3,May3,size,0.0002095,-27.759,0.115,FULL,20,3
378,3,May3,size,0.0001418,13.392,0.077,FULL,20,3
378,3,May3,size,0.0001483,-65.136,0.08,FULL,20,3
378,3,May3,size,0.0003062,-17.281,0.169,FULL,20,3
378,3,May3,size,0.0002385,-98.686,0.131,FULL,20,3
381,4,May3,size,0.0002957,-71.365,0.163,FULL,20,4
381,4,May3,size,0.0003954,120.155,0.218,FULL,20,4
381,4,May3,size,0.0003375,70.866,0.186,FULL,20,4
381,4,May3,size,0.0003922,-61.731,0.216,FULL,20,4
381,4,May3,size,0.0003536,-92.626,0.196,FULL,20,4
381,4,May3,size,0.0003214,-13.473,0.177,FULL,20,4
381,4,May3,size,0.0002379,-18.687,0.13,FULL,20,4
381,4,May3,size,0.0003182,-52.074,0.175,FULL,20,4
381,4,May3,size,0.0004243,-10.46,0.236,FULL,20,4
381,4,May3,size,0.0003214,-88.282,0.178,FULL,20,4
381,4,May3,size,0.0004211,-135,0.233,FULL,20,4
381,4,May3,size,0.0004018,23.259,0.222,FULL,20,4
381,4,May3,size,0.0001993,31.608,0.109,FULL,20,4
381,4,May3,size,0.0003922,106.336,0.217,FULL,20,4
381,4,May3,size,0.0003086,-140.964,0.171,FULL,20,4
381,4,May3,size,0.0003054,-57.995,0.169,FULL,20,4
381,4,May3,size,0.0003375,-102.171,0.187,FULL,20,4
381,4,May3,size,0.0003793,-51.263,0.209,FULL,20,4
381,4,May3,size,0.0003214,46.236,0.178,FULL,20,4
381,4,May3,size,0.0003729,130.061,0.206,FULL,20,4
381,4,May3,size,0.0003022,-19.406,0.167,FULL,20,4
381,4,May3,size,0.0003407,-102.588,0.189,FULL,20,4
381,4,May3,size,0.0003986,-72.007,0.221,FULL,20,4
381,4,May3,size,0.0002925,-135.909,0.161,FULL,20,4
381,4,May3,size,0.0001993,-28.237,0.109,FULL,20,4
381,4,May3,size,0.0002829,-50.11,0.157,FULL,20,4
381,4,May3,size,0.0001961,-23.575,0.107,FULL,20,4
381,4,May3,size,0.0003632,16.015,0.2,FULL,20,4
381,4,May3,size,0.0002893,-162.378,0.16,FULL,20,4
381,4,May3,size,0.0003697,149.381,0.205,FULL,20,4
381,4,May3,size,0.0003568,121.232,0.197,FULL,20,4
381,4,May3,size,0.0001254,-90,0.068,FULL,20,4
381,4,May3,size,0.0001125,67.891,0.061,FULL,20,4
381,4,May3,size,0.0004147,-144.567,0.229,FULL,20,4
381,4,May3,size,0.0003311,15.403,0.182,FULL,20,4
381,4,May3,size,0.0003729,36.87,0.207,FULL,20,4
381,4,May3,size,0.0002861,57.031,0.157,FULL,20,4
381,4,May3,size,0.0004468,144.462,0.247,FULL,20,4
381,4,May3,size,0.0003472,-72.582,0.192,FULL,20,4
381,4,May3,size,0.0002539,113.295,0.14,FULL,20,4
381,4,May3,size,0.0003022,-74.31,0.166,FULL,20,4
381,4,May3,size,0.0001607,-93.504,0.087,FULL,20,4
381,4,May3,size,0.0002443,-146.524,0.135,FULL,20,4
381,4,May3,size,0.0003536,57.488,0.195,FULL,20,4
381,4,May3,size,0.0003504,-136.872,0.194,FULL,20,4
381,4,May3,size,0.0002539,81.142,0.139,FULL,20,4
381,4,May3,size,0.0002025,-29.055,0.111,FULL,20,4
381,4,May3,size,0.0002893,47.726,0.16,FULL,20,4
381,4,May3,size,0.0004179,116.365,0.231,FULL,20,4
381,4,May3,size,0.0004082,121.278,0.225,FULL,20,4
381,4,May3,size,0.00027,23.471,0.149,FULL,20,4
381,4,May3,size,0.0003311,-97.892,0.182,FULL,20,4
381,4,May3,size,0.0002957,78.566,0.163,FULL,20,4
381,4,May3,size,0.0002797,-132.184,0.154,FULL,20,4
381,4,May3,size,0.0002829,-120.069,0.156,FULL,20,4
381,4,May3,size,0.0003954,150.081,0.218,FULL,20,4
381,4,May3,size,0.0002411,-138.302,0.132,FULL,20,4
381,4,May3,size,0.0003664,-37.786,0.203,FULL,20,4
381,4,May3,size,0.0002989,22.954,0.164,FULL,20,4
381,4,May3,size,0.0003407,-127.635,0.189,FULL,20,4
381,4,May3,size,0.0002989,-168.079,0.165,FULL,20,4
381,4,May3,size,0.00036,101.004,0.198,FULL,20,4
381,4,May3,size,0.0001768,-146.31,0.097,FULL,20,4
381,4,May3,size,0.0002797,176.009,0.153,FULL,20,4
381,4,May3,size,0.0002925,10.934,0.161,FULL,20,4
381,4,May3,size,0.0002957,-68.199,0.164,FULL,20,4
381,4,May3,size,0.0002186,179.145,0.12,FULL,20,4
385,5,May3,size,0.000284,-23.962,0.158,FULL,20,5
385,5,May3,size,0.0003319,-19.841,0.184,FULL,20,5
