uniqueID,date,replicate,type,cell_count,biovolume
37,June2,R1,lst,108976,856.33
38,June2,R1,lst,235290,657.21
39,June2,R1,lst,84344,643.94
40,June2,R1,lst,10334,953.84
41,June2,R1,lst,107855,334.08
42,June2,R1,lst,29863,348.63
43,June2,R1,lst,63198,624.51
44,June2,R1,lst,359534,336.29
45,June2,R1,lst,11981,869.41
46,June2,R1,lst,67295,393.99
47,June2,R1,lst,297092,299.1
48,June2,R1,lst,40062,609.57
