List File,40-APRIL15-R1_copy.lst
Start Time,2016-04-15  13:37:09
Sampling Time,1 min 36 sec

Count,3787  of  3787
Particles / ml,98431

Efficiency,16.0%
PPUI,5.52

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),123.08,32.36,4426.24,137.09,111.38
Aspect Ratio,0.85,0.22,1.00,0.11,13.00
Circle Fit,0.74,0.00,0.94,0.14,18.72
Circularity (Hu),0.94,0.15,1.00,0.07,7.61
Compactness,1.83,1.01,15.32,0.85,46.22
Diameter (ABD),11.85,6.42,75.07,4.04,34.14
Diameter (ESD),13.56,6.77,93.59,4.85,35.74
Elongation,3.33,1.00,46.11,2.81,84.51
Geodesic Aspect Ratio,0.46,0.02,1.00,0.27,59.80
Geodesic Length,22.71,7.11,285.58,13.63,59.99
Geodesic Thickness,8.00,1.56,22.09,2.54,31.78
Image Height,39.46,25.00,176.00,9.10,23.07
Image Width,38.07,23.00,199.00,9.07,23.82
Intensity,134.50,89.45,198.35,12.83,9.54
Length,15.00,7.18,107.23,5.76,38.37
Perimeter,61.42,28.43,606.27,26.96,43.89
Roughness,1.32,1.04,3.43,0.23,17.66
Sigma Intensity,41.43,3.44,57.31,5.38,12.98
Sum Intensity,76855.49,21480.00,2.02e+006,64366.84,83.75
Transparency,0.12,0.03,0.59,0.05,38.75
Volume (ABD),1297.47,138.50,2.22e+005,5387.88,415.26
Width,11.80,4.87,71.13,3.90,33.05

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,3,0.08,0.01,78,0.01
7-8um,89,2.35,0.30,2313,0.39
8-9um,268,7.08,1.20,6966,1.53
0-5um,0,0.00,0.00,0.00,0.00
5-10um,727,19.20,3.81,18896,4.87
10-15um,2004,52.92,29.02,52088,37
15-20um,785,20.73,27.49,20404,35
20-25um,168,4.44,12.30,4367,16
25-30um,49,1.29,6.37,1274,8.13
30-35um,25,0.66,5.34,650,6.82
35-40um,5,0.13,1.46,130,1.86
40-45um,5,0.13,2.35,130,3.00
45-50um,3,0.08,1.56,78,2.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,1,0.03,1.14,26,1.45
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,2,0.05,8.93,52,11
95-100um,0,0.00,0.00,0.00,0.00
9-10um,366,9.66,2.30,9513,2.93
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

