List File,10-APRIL12-R5_copy.lst
Start Time,2016-04-12  10:04:24
Sampling Time,2 min 5 sec

Count,118  of  118
Particles / ml,2313

Efficiency,16.3%
PPUI,1.23

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),81.60,20.42,474.45,72.07,88.31
Aspect Ratio,0.83,0.49,0.99,0.12,14.43
Circle Fit,0.75,0.23,0.94,0.13,17.66
Circularity (Hu),0.93,0.65,1.00,0.06,6.84
Compactness,1.62,1.00,3.46,0.47,29.12
Diameter (ABD),9.55,5.10,24.58,3.58,37.48
Diameter (ESD),11.02,5.76,26.81,4.11,37.29
Elongation,2.62,1.00,8.74,1.66,63.30
Geodesic Aspect Ratio,0.54,0.11,1.00,0.30,55.58
Geodesic Length,17.20,6.25,52.09,9.36,54.41
Geodesic Thickness,7.25,3.51,14.52,2.26,31.21
Image Height,34.64,22.00,70.00,8.48,24.49
Image Width,33.70,24.00,62.00,7.00,20.76
Intensity,132.76,74.82,160.17,14.45,10.88
Length,12.45,6.03,30.67,4.93,39.59
Perimeter,48.89,24.98,117.48,19.22,39.31
Roughness,1.25,1.05,1.91,0.17,14.01
Sigma Intensity,39.88,17.97,53.05,6.37,15.98
Sum Intensity,54204.53,17514.00,2.72e+005,39978.27,73.75
Transparency,0.13,0.05,0.27,0.05,36.81
Volume (ABD),685.06,69.42,7774.07,1093.47,159.62
Width,9.36,4.54,24.24,3.43,36.60

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,5,4.24,0.50,98,0.01
6-7um,8,6.78,0.91,157,0.01
7-8um,13,11.02,2.51,255,0.04
8-9um,17,14.41,4.48,333,0.07
0-5um,0,0.00,0.00,0.00,0.00
5-10um,60,50.85,14.58,1176,0.23
10-15um,40,33.90,30.52,784,0.48
15-20um,14,11.86,28.24,274,0.45
20-25um,2,1.69,8.09,39,0.13
25-30um,2,1.69,18.58,39,0.29
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,17,14.41,6.19,333,0.10
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

