List File,4-APRIL19-R1_copy.lst
Start Time,2016-04-19  11:30:57
Sampling Time,1 min 49 sec

Count,1281  of  1281
Particles / ml,28929

Efficiency,16.2%
PPUI,1.81

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),176.88,19.60,1759.42,146.03,82.56
Aspect Ratio,0.66,0.14,0.99,0.19,28.35
Circle Fit,0.54,0.00,0.91,0.20,37.03
Circularity (Hu),0.79,0.09,0.99,0.19,23.89
Compactness,2.65,1.02,10.69,1.48,55.80
Diameter (ABD),13.82,5.00,47.33,5.86,42.39
Diameter (ESD),17.14,5.42,61.16,6.59,38.44
Elongation,6.04,1.00,31.56,4.79,79.36
Geodesic Aspect Ratio,0.30,0.03,1.00,0.25,83.72
Geodesic Length,34.02,6.05,185.23,20.08,59.03
Geodesic Thickness,7.13,1.43,18.38,3.14,44.02
Image Height,47.15,20.00,150.00,13.75,29.15
Image Width,43.12,20.00,127.00,12.49,28.96
Intensity,144.43,82.41,208.72,19.85,13.74
Length,20.59,6.03,76.06,7.67,37.26
Perimeter,82.30,24.20,392.92,40.35,49.02
Roughness,1.40,1.04,2.79,0.32,22.98
Sigma Intensity,33.78,2.62,58.72,13.69,40.53
Sum Intensity,1.10e+005,16407.00,8.17e+005,78844.65,71.43
Transparency,0.20,0.05,0.67,0.12,58.59
Volume (ABD),2178.16,65.29,55516.09,2952.92,135.57
Width,12.84,2.02,48.95,6.18,48.14

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,14,1.09,0.04,316,0.02
6-7um,44,3.43,0.15,994,0.10
7-8um,34,2.65,0.16,768,0.10
8-9um,50,3.90,0.29,1129,0.18
0-5um,0,0.00,0.00,0.00,0.00
5-10um,197,15.38,1.12,4449,0.71
10-15um,313,24.43,5.51,7068,3.47
15-20um,342,26.70,19.66,7723,12
20-25um,295,23.03,37.79,6662,24
25-30um,91,7.10,18.59,2055,12
30-35um,30,2.34,9.97,677,6.28
35-40um,8,0.62,3.88,181,2.45
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,1,0.08,1.27,23,0.80
55-60um,0,0.00,0.00,0.00,0.00
60-65um,1,0.08,1.99,23,1.25
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,55,4.29,0.48,1242,0.30
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

