List File,56-APRIL15-R4_copy.lst
Start Time,2016-04-15  13:27:47
Sampling Time,1 min 17 sec

Count,1894  of  1894
Particles / ml,61026

Efficiency,16.1%
PPUI,3.11

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),129.64,25.44,2280.72,136.63,105.39
Aspect Ratio,0.85,0.32,0.99,0.11,13.44
Circle Fit,0.74,0.00,0.95,0.15,19.88
Circularity (Hu),0.94,0.17,1.00,0.08,8.08
Compactness,1.79,1.02,12.38,0.83,46.12
Diameter (ABD),11.98,5.69,53.89,4.64,38.73
Diameter (ESD),13.76,6.15,69.67,5.63,40.88
Elongation,3.20,1.00,36.86,2.74,85.75
Geodesic Aspect Ratio,0.47,0.03,1.00,0.27,58.05
Geodesic Length,22.73,6.64,300.34,15.15,66.63
Geodesic Thickness,8.13,1.70,25.90,2.56,31.50
Image Height,39.92,23.00,172.00,11.26,28.20
Image Width,38.32,24.00,154.00,9.79,25.55
Intensity,132.35,81.26,196.02,14.25,10.77
Length,15.28,6.37,87.51,6.87,44.97
Perimeter,61.72,26.55,616.97,30.64,49.64
Roughness,1.33,1.04,4.43,0.24,17.72
Sigma Intensity,41.58,3.92,61.22,5.13,12.33
Sum Intensity,78296.41,20283.00,9.89e+005,64243.71,82.05
Transparency,0.13,0.03,0.58,0.05,39.34
Volume (ABD),1433.63,96.51,81935.43,3565.22,248.68
Width,11.91,5.15,57.52,4.30,36.10

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,5,0.26,0.02,161,0.02
7-8um,65,3.43,0.37,2094,0.32
8-9um,120,6.34,0.95,3866,0.83
0-5um,0,0.00,0.00,0.00,0.00
5-10um,421,22.23,3.94,13565,3.45
10-15um,935,49.37,23.90,30126,21
15-20um,343,18.11,21.07,11052,18
20-25um,107,5.65,14.15,3448,12
25-30um,46,2.43,12.00,1482,11
30-35um,24,1.27,9.33,773,8.16
35-40um,6,0.32,3.55,193,3.10
40-45um,2,0.11,1.18,64,1.03
45-50um,2,0.11,1.71,64,1.49
50-55um,0,0.00,0.00,0.00,0.00
55-60um,1,0.05,1.18,32,1.04
60-65um,1,0.05,3.02,32,2.64
65-70um,2,0.11,4.89,64,4.28
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,230,12.14,2.60,7411,2.27
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

