List File,57-APRIL15-R3_copy.lst
Start Time,2016-04-15  12:27:23
Sampling Time,1 min 54 sec

Count,1605  of  1605
Particles / ml,34996

Efficiency,16.0%
PPUI,3.76

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),132.28,26.50,7464.41,394.87,298.52
Aspect Ratio,0.84,0.28,1.00,0.13,15.85
Circle Fit,0.74,0.00,0.95,0.17,22.59
Circularity (Hu),0.93,0.39,1.00,0.09,9.94
Compactness,1.68,1.00,8.73,0.68,40.70
Diameter (ABD),11.00,5.81,97.49,6.88,62.57
Diameter (ESD),12.75,6.13,129.83,8.53,66.91
Elongation,2.82,1.00,25.40,2.29,81.20
Geodesic Aspect Ratio,0.53,0.04,1.00,0.30,56.26
Geodesic Length,20.48,6.44,358.54,21.75,106.22
Geodesic Thickness,7.86,1.75,27.26,2.66,33.84
Image Height,37.74,23.00,236.00,16.80,44.53
Image Width,36.87,23.00,293.00,15.26,41.41
Intensity,133.92,91.35,163.63,13.25,9.90
Length,14.37,6.35,160.47,10.44,72.64
Perimeter,56.68,25.76,745.31,45.65,80.54
Roughness,1.27,1.03,2.71,0.19,14.62
Sigma Intensity,40.76,12.03,54.05,5.51,13.52
Sum Intensity,75525.01,17763.00,2.90e+006,1.50e+005,198.05
Transparency,0.13,0.03,0.43,0.06,43.27
Volume (ABD),2624.63,102.64,4.85e+005,21274.94,810.59
Width,10.78,4.70,82.06,6.31,58.57

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,31,1.93,0.09,676,0.08
7-8um,164,10.22,0.59,3576,0.55
8-9um,200,12.46,1.04,4361,0.95
0-5um,0,0.00,0.00,0.00,0.00
5-10um,620,38.63,3.36,13519,3.08
10-15um,687,42.80,10.21,14980,9.38
15-20um,179,11.15,7.30,3903,6.70
20-25um,53,3.30,4.29,1156,3.94
25-30um,22,1.37,2.93,480,2.69
30-35um,12,0.75,2.61,262,2.40
35-40um,8,0.50,2.65,174,2.43
40-45um,3,0.19,1.44,65,1.32
45-50um,2,0.12,1.80,44,1.65
50-55um,1,0.06,1.17,22,1.08
55-60um,1,0.06,0.99,22,0.91
60-65um,2,0.12,3.01,44,2.77
65-70um,1,0.06,2.56,22,2.35
75-80um,2,0.12,7.41,44,6.81
80-85um,0,0.00,0.00,0.00,0.00
85-90um,1,0.06,5.13,22,4.72
90-95um,0,0.00,0.00,0.00,0.00
95-100um,1,0.06,6.85,22,6.29
9-10um,223,13.89,1.62,4862,1.49
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

