List File,21-APRIL8-R5_copy.lst
Start Time,2016-04-08  15:36:28
Sampling Time,1 min 24 sec

Count,844  of  844
Particles / ml,24609

Efficiency,16.3%
PPUI,1.62

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),64.09,19.81,1782.35,94.22,147.02
Aspect Ratio,0.87,0.36,1.00,0.10,12.05
Circle Fit,0.82,0.06,0.95,0.13,15.37
Circularity (Hu),0.96,0.54,1.00,0.06,6.29
Compactness,1.35,1.00,4.17,0.37,27.82
Diameter (ABD),8.40,5.02,47.64,3.32,39.55
Diameter (ESD),9.48,5.31,56.15,4.06,42.84
Elongation,1.76,1.00,11.00,1.24,70.35
Geodesic Aspect Ratio,0.74,0.09,1.00,0.29,39.21
Geodesic Length,12.70,5.86,130.24,9.63,75.88
Geodesic Thickness,7.61,3.26,16.16,1.68,22.13
Image Height,31.44,22.00,114.00,7.58,24.09
Image Width,31.21,23.00,118.00,7.56,24.21
Intensity,125.23,88.66,157.97,11.44,9.13
Length,10.55,5.74,63.53,4.77,45.25
Perimeter,40.62,23.42,284.17,19.87,48.92
Roughness,1.19,1.03,2.29,0.14,12.09
Sigma Intensity,35.27,6.24,50.90,9.18,26.02
Sum Intensity,40842.66,18059.00,5.95e+005,36623.72,89.67
Transparency,0.11,0.03,0.29,0.05,45.55
Volume (ABD),551.35,66.31,56604.60,2485.00,450.72
Width,8.20,4.28,48.23,3.30,40.25

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,16,1.90,0.27,467,0.04
6-7um,114,13.51,2.72,3324,0.37
7-8um,166,19.67,5.78,4840,0.78
8-9um,191,22.63,9.55,5569,1.30
0-5um,0,0.00,0.00,0.00,0.00
5-10um,631,74.76,27.89,18398,3.78
10-15um,167,19.79,21.12,4869,2.87
15-20um,22,2.61,6.68,641,0.91
20-25um,10,1.18,7.26,292,0.99
25-30um,7,0.83,11.12,204,1.51
30-35um,1,0.12,1.87,29,0.25
35-40um,1,0.12,3.21,29,0.44
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,1,0.12,12.16,29,1.65
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,136,16.11,9.25,3965,1.25
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

