List File,46-APRIL15-R4_copy.lst
Start Time,2016-04-15  13:50:33
Sampling Time,2 min 6 sec

Count,7952  of  7952
Particles / ml,159328

Efficiency,15.8%
PPUI,6.47

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),130.37,19.60,7058.09,203.75,156.29
Aspect Ratio,0.84,0.28,1.00,0.11,13.54
Circle Fit,0.73,0.00,0.95,0.15,20.82
Circularity (Hu),0.92,0.11,1.00,0.12,12.49
Compactness,2.02,1.00,13.65,1.29,63.77
Diameter (ABD),11.88,5.00,94.80,4.98,41.88
Diameter (ESD),13.83,5.36,121.29,6.03,43.63
Elongation,3.94,1.00,40.85,4.20,106.42
Geodesic Aspect Ratio,0.45,0.02,1.00,0.29,65.37
Geodesic Length,24.20,5.89,371.22,16.82,69.48
Geodesic Thickness,7.81,1.24,25.38,2.91,37.30
Image Height,40.02,22.00,220.00,11.67,29.16
Image Width,38.48,22.00,253.00,10.89,28.29
Intensity,137.17,77.40,204.73,16.10,11.74
Length,15.38,5.50,151.39,7.32,47.60
Perimeter,64.02,23.55,784.07,33.63,52.53
Roughness,1.36,1.03,3.76,0.28,20.76
Sigma Intensity,40.19,2.43,59.84,8.11,20.18
Sum Intensity,81381.75,14583.00,3.01e+006,90941.27,111.75
Transparency,0.14,0.03,0.68,0.07,55.18
Volume (ABD),1611.42,65.29,4.46e+005,10063.76,624.53
Width,11.94,4.14,90.28,4.66,38.99

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,31,0.39,0.02,621,0.05
6-7um,134,1.69,0.10,2685,0.26
7-8um,315,3.96,0.37,6311,0.96
8-9um,581,7.31,0.99,11641,2.53
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1817,22.85,3.27,36406,8.41
10-15um,3689,46.39,20.19,73913,52
15-20um,1710,21.50,21.67,34262,56
20-25um,401,5.04,11.08,8035,28
25-30um,177,2.23,8.87,3546,23
30-35um,68,0.86,5.44,1362,14
35-40um,35,0.44,4.33,701,11
40-45um,13,0.16,2.23,260,5.72
45-50um,7,0.09,1.50,140,3.86
50-55um,3,0.04,0.81,60,2.09
55-60um,1,0.01,0.49,20,1.25
60-65um,2,0.03,0.94,40,2.41
65-70um,3,0.04,1.87,60,4.81
75-80um,2,0.03,1.87,40,4.80
80-85um,2,0.03,2.69,40,6.89
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,739,9.29,1.77,14807,4.53
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

