List File,9-APRIL8-R2_copy.lst
Start Time,2016-04-08  16:45:36
Sampling Time,1 min 26 sec

Count,5443  of  5443
Particles / ml,163472

Efficiency,15.5%
PPUI,11.62

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),77.72,19.60,5429.88,172.41,221.85
Aspect Ratio,0.83,0.24,1.00,0.12,14.38
Circle Fit,0.75,0.00,0.96,0.15,19.48
Circularity (Hu),0.92,0.31,1.00,0.09,9.49
Compactness,1.68,1.00,11.41,0.71,42.11
Diameter (ABD),8.89,5.00,83.15,4.46,50.12
Diameter (ESD),10.45,5.33,107.27,5.81,55.61
Elongation,2.82,1.00,33.81,2.35,83.38
Geodesic Aspect Ratio,0.52,0.03,1.00,0.29,55.43
Geodesic Length,17.03,5.86,341.96,16.18,95.06
Geodesic Thickness,6.69,1.84,21.34,2.10,31.36
Image Height,33.48,21.00,228.00,11.25,33.59
Image Width,32.82,22.00,244.00,10.29,31.35
Intensity,132.34,87.27,161.46,12.65,9.56
Length,11.81,5.58,129.23,7.03,59.57
Perimeter,47.43,23.42,714.72,33.12,69.84
Roughness,1.24,1.03,3.10,0.18,14.42
Sigma Intensity,39.42,6.67,55.81,6.58,16.70
Sum Intensity,50737.36,13906.00,2.29e+006,78725.29,155.16
Transparency,0.14,0.03,0.54,0.06,40.95
Volume (ABD),920.61,65.29,3.01e+005,6979.34,758.12
Width,8.82,2.94,77.43,4.44,50.36

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,90,1.65,0.14,2703,0.21
6-7um,485,8.91,0.97,14566,1.46
7-8um,924,16.98,2.70,27751,4.07
8-9um,1048,19.25,4.33,31475,6.52
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3363,61.79,12.75,101003,19
10-15um,1702,31.27,20.13,51117,30
15-20um,203,3.73,5.45,6097,8.20
20-25um,45,0.83,2.88,1352,4.33
25-30um,39,0.72,4.59,1171,6.91
30-35um,22,0.40,4.00,661,6.02
35-40um,22,0.40,5.71,661,8.60
40-45um,6,0.11,2.40,180,3.61
45-50um,14,0.26,7.12,420,11
50-55um,3,0.06,1.92,90,2.89
55-60um,6,0.11,5.35,180,8.06
60-65um,1,0.02,1.35,30,2.03
65-70um,3,0.06,3.28,90,4.93
75-80um,2,0.04,4.19,60,6.31
80-85um,0,0.00,0.00,0.00,0.00
85-90um,2,0.04,4.97,60,7.48
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,786,14.44,4.51,23606,6.79
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

