List File,36-APRIL12-R2_copy.lst
Start Time,2016-04-12  14:28:07
Sampling Time,1 min 50 sec

Count,127  of  127
Particles / ml,2838

Efficiency,16.3%
PPUI,1.23

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),65.71,19.60,674.90,80.64,122.73
Aspect Ratio,0.86,0.55,0.98,0.08,9.63
Circle Fit,0.77,0.42,0.93,0.10,12.88
Circularity (Hu),0.94,0.66,1.00,0.06,6.33
Compactness,1.67,1.00,4.69,0.59,35.49
Diameter (ABD),8.53,5.00,29.31,3.32,38.90
Diameter (ESD),9.87,5.48,34.92,3.82,38.70
Elongation,2.81,1.00,12.66,2.02,71.81
Geodesic Aspect Ratio,0.52,0.08,1.00,0.29,56.14
Geodesic Length,15.88,6.08,61.48,8.28,52.15
Geodesic Thickness,6.54,2.64,13.91,2.09,31.97
Image Height,32.58,24.00,86.00,7.32,22.47
Image Width,31.62,23.00,72.00,6.56,20.76
Intensity,138.13,102.55,160.36,12.41,8.99
Length,10.96,6.11,42.16,4.43,40.41
Perimeter,44.84,24.34,149.76,17.13,38.20
Roughness,1.24,1.04,1.77,0.17,13.61
Sigma Intensity,40.18,15.16,50.57,5.93,14.76
Sum Intensity,47190.00,18698.00,3.51e+005,42266.15,89.57
Transparency,0.13,0.04,0.31,0.05,39.61
Volume (ABD),543.02,65.29,13189.31,1546.25,284.75
Width,8.58,4.70,27.28,3.20,37.30

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,3.15,0.47,89,0.01
6-7um,17,13.39,2.53,380,0.04
7-8um,17,13.39,3.67,380,0.06
8-9um,18,14.17,5.92,402,0.09
0-5um,0,0.00,0.00,0.00,0.00
5-10um,73,57.48,19.30,1631,0.30
10-15um,50,39.37,37.36,1117,0.58
15-20um,1,0.79,2.96,22,0.05
20-25um,1,0.79,4.58,22,0.07
25-30um,0,0.00,0.00,0.00,0.00
30-35um,2,1.57,35.80,45,0.55
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,17,13.39,6.71,380,0.10
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

